wavelength_um transit_depth
5.999999999999999778e-01 2.592588714859332677e-02
6.065808297567953922e-01 2.576685397606928024e-02
6.131616595135908065e-01 2.562535080184539030e-02
6.197424892703862209e-01 2.550109049539717870e-02
6.263233190271816353e-01 2.546396742791270582e-02
6.329041487839770497e-01 2.531220298731789303e-02
6.394849785407725751e-01 2.523199751844212510e-02
6.460658082975679894e-01 2.517035069529237681e-02
6.526466380543634038e-01 2.509293860511349616e-02
6.592274678111588182e-01 2.501489865135252816e-02
6.658082975679542326e-01 2.517288085968473477e-02
6.723891273247496470e-01 2.486663325233104752e-02
6.789699570815450613e-01 2.481994657479664676e-02
6.855507868383404757e-01 2.481839675492363007e-02
6.921316165951358901e-01 2.512162026513518193e-02
6.987124463519313045e-01 2.491691769452327940e-02
7.052932761087267188e-01 2.496930139214812924e-02
7.118741058655221332e-01 2.489826048102823999e-02
7.184549356223175476e-01 2.541920759021914708e-02
7.250357653791130730e-01 2.505218934837553924e-02
7.316165951359083763e-01 2.523502418913910889e-02
7.381974248927039017e-01 2.515122448930361132e-02
7.447782546494993161e-01 2.572804587624621594e-02
7.513590844062947305e-01 2.543872783503335622e-02
7.579399141630901449e-01 2.554395386908867374e-02
7.645207439198855592e-01 2.606816413450460668e-02
7.711015736766809736e-01 2.620865655216889772e-02
7.776824034334763880e-01 2.539852557305827957e-02
7.842632331902718024e-01 2.517036121173580471e-02
7.908440629470672167e-01 2.509092879647642493e-02
7.974248927038626311e-01 2.496371225726066664e-02
8.040057224606580455e-01 2.513002542662297681e-02
8.105865522174535709e-01 2.493654537302064308e-02
8.171673819742488742e-01 2.558743476633202132e-02
8.237482117310443996e-01 2.479143734027398904e-02
8.303290414878398140e-01 2.607344260682693121e-02
8.369098712446352284e-01 2.499805636899764261e-02
8.434907010014306428e-01 2.456854323846982546e-02
8.500715307582260571e-01 2.479710573077133912e-02
8.566523605150214715e-01 2.454222422516984248e-02
8.632331902718168859e-01 2.451938380751042881e-02
8.698140200286123003e-01 2.450241172323068192e-02
8.763948497854077146e-01 2.438382365717222874e-02
8.829756795422032400e-01 2.421056333721841730e-02
8.895565092989985434e-01 2.462498762982559194e-02
8.961373390557940688e-01 2.421704866925091307e-02
9.027181688125893722e-01 2.426962060956645850e-02
9.092989985693848976e-01 2.409032102247479767e-02
9.158798283261803119e-01 2.467156533680797681e-02
9.224606580829757263e-01 2.579592724395193132e-02
9.290414878397711407e-01 2.602804269572767809e-02
9.356223175965665551e-01 2.626794670502067067e-02
9.422031473533619694e-01 2.675079697360089812e-02
9.487839771101573838e-01 2.588790351035239606e-02
9.553648068669527982e-01 2.664930626572645928e-02
9.619456366237482126e-01 2.490838766878281096e-02
9.685264663805437380e-01 2.518305533875058594e-02
9.751072961373390413e-01 2.527311861115300040e-02
9.816881258941345667e-01 2.633341783385179449e-02
9.882689556509298701e-01 2.515030828755206171e-02
9.948497854077253955e-01 2.483521976791217695e-02
1.001430615164520699e+00 2.579924788866939239e-02
1.008011444921316224e+00 2.564553685021540852e-02
1.014592274678111750e+00 2.538243948331458250e-02
1.021173104434907053e+00 2.466256398768573374e-02
1.027753934191702356e+00 2.492965220439936902e-02
1.034334763948497882e+00 2.456247754870997599e-02
1.040915593705293407e+00 2.392697576514269883e-02
1.047496423462088710e+00 2.414578676105626209e-02
1.054077253218884236e+00 2.390436339194350335e-02
1.060658082975679539e+00 2.426855023213003032e-02
1.067238912732475065e+00 2.415863826647515408e-02
1.073819742489270368e+00 2.469176000751062416e-02
1.080400572246065893e+00 2.409066762956233593e-02
1.086981402002861419e+00 2.436357494497905229e-02
1.093562231759656722e+00 2.543926206971123399e-02
1.100143061516452025e+00 2.491050396833042677e-02
1.106723891273247551e+00 2.439313701485544550e-02
1.113304721030043076e+00 2.766684554839857896e-02
1.119885550786838380e+00 2.544563588091457162e-02
1.126466380543633683e+00 2.565621105816077996e-02
1.133047210300429208e+00 2.479506324440127613e-02
1.139628040057224734e+00 2.686555344167237611e-02
1.146208869814020037e+00 2.490914360752517417e-02
1.152789699570815563e+00 2.595420978529671199e-02
1.159370529327611088e+00 2.576118277406917387e-02
1.165951359084406391e+00 2.572463826014216581e-02
1.172532188841201695e+00 2.503220759376715773e-02
1.179113018597997220e+00 2.510916416805165571e-02
1.185693848354792745e+00 2.534130460258542453e-02
1.192274678111588049e+00 2.504672214817126041e-02
1.198855507868383352e+00 2.603106734901953351e-02
1.205436337625178878e+00 2.561895252873670759e-02
1.212017167381974403e+00 2.531752981039993994e-02
1.218597997138769706e+00 2.559373511478548954e-02
1.225178826895565010e+00 2.526108519115365797e-02
1.231759656652360757e+00 2.620657089995256928e-02
1.238340486409156060e+00 2.449610722981432342e-02
1.244921316165951364e+00 2.422232533694076637e-02
1.251502145922746889e+00 2.480681398845506480e-02
1.258082975679542415e+00 2.521148571984503303e-02
1.264663805436337718e+00 2.626010447075715487e-02
1.271244635193133021e+00 2.475545303029040578e-02
1.277825464949928547e+00 2.460748571007387656e-02
1.284406294706724072e+00 2.467324416569842763e-02
1.290987124463519375e+00 2.713009821242735875e-02
1.297567954220314679e+00 2.461255992825157196e-02
1.304148783977110204e+00 2.432051543121604292e-02
1.310729613733905730e+00 2.502309729423383977e-02
1.317310443490701033e+00 2.650301427864729109e-02
1.323891273247496558e+00 2.622955820232854979e-02
1.330472103004292084e+00 2.549047919796691708e-02
1.337052932761087387e+00 2.852127449076531651e-02
1.343633762517882690e+00 2.593686063864364053e-02
1.350214592274678216e+00 2.956364729455513568e-02
1.356795422031473741e+00 2.602882255315683291e-02
1.363376251788269045e+00 2.882731586528889181e-02
1.369957081545064348e+00 2.901904644261272745e-02
1.376537911301859873e+00 2.907382772875575713e-02
1.383118741058655399e+00 2.737980400882453549e-02
1.389699570815450702e+00 2.654682214842734797e-02
1.396280400572246005e+00 2.655520246741608845e-02
1.402861230329041753e+00 2.644503808279657572e-02
1.409442060085837056e+00 2.988144316786695703e-02
1.416022889842632360e+00 2.751741924516526785e-02
1.422603719599427885e+00 2.672334086458933236e-02
1.429184549356223410e+00 2.529266131333416170e-02
1.435765379113018714e+00 2.615465245722017537e-02
1.442346208869814017e+00 2.845918649736967065e-02
1.448927038626609543e+00 2.671413612406691590e-02
1.455507868383405068e+00 2.657788073548281171e-02
1.462088698140200371e+00 2.619403757555036419e-02
1.468669527896995675e+00 2.827189157505681852e-02
1.475250357653791200e+00 2.955980666161522538e-02
1.481831187410586725e+00 2.649238383001721250e-02
1.488412017167382029e+00 2.677425594679141291e-02
1.494992846924177554e+00 2.738358113579174302e-02
1.501573676680973080e+00 2.831263115200314054e-02
1.508154506437768383e+00 2.742879371447164844e-02
1.514735336194563686e+00 2.624077494170798386e-02
1.521316165951359212e+00 2.620640647354292863e-02
1.527896995708154737e+00 2.626776052719028906e-02
1.534477825464950040e+00 2.593847727632413863e-02
1.541058655221745344e+00 2.606909589853758508e-02
1.547639484978540869e+00 2.727897850472769600e-02
1.554220314735336395e+00 2.572816616645220641e-02
1.560801144492131698e+00 2.655549895428801696e-02
1.567381974248927001e+00 2.557754375421690540e-02
1.573962804005722749e+00 2.540439217629901492e-02
1.580543633762518052e+00 2.629035941114336167e-02
1.587124463519313355e+00 2.681582923622581258e-02
1.593705293276108881e+00 2.637244209597178896e-02
1.600286123032904406e+00 2.521463271001719506e-02
1.606866952789699710e+00 2.608639868684270793e-02
1.613447782546495013e+00 2.558011561572609907e-02
1.620028612303290760e+00 2.598910819649240950e-02
1.626609442060086064e+00 2.537847371930323018e-02
1.633190271816881367e+00 2.558056043248316952e-02
1.639771101573676670e+00 2.572639906434858945e-02
1.646351931330472418e+00 2.533187034448516547e-02
1.652932761087267721e+00 2.489799562210389880e-02
1.659513590844063025e+00 2.539749327965892117e-02
1.666094420600858328e+00 2.532695027343198277e-02
1.672675250357654075e+00 2.488223517689518854e-02
1.679256080114449379e+00 2.510300498254060958e-02
1.685836909871244682e+00 2.460096119871751918e-02
1.692417739628039985e+00 2.675438094841556605e-02
1.698998569384835733e+00 2.514603638836315769e-02
1.705579399141631036e+00 2.571993482749742807e-02
1.712160228898426340e+00 2.616163488830824946e-02
1.718741058655222087e+00 2.528060266151086616e-02
1.725321888412017390e+00 2.564206501070052935e-02
1.731902718168812694e+00 2.760117675734263809e-02
1.738483547925607997e+00 2.479447554792758163e-02
1.745064377682403745e+00 2.769984361546533325e-02
1.751645207439199048e+00 2.501786754767157395e-02
1.758226037195994351e+00 2.581205838385830856e-02
1.764806866952789655e+00 2.604134388968321057e-02
1.771387696709585402e+00 2.510553154446374183e-02
1.777968526466380705e+00 2.530201438729250824e-02
1.784549356223176009e+00 2.732413091329521926e-02
1.791130185979971756e+00 2.563532330550984811e-02
1.797711015736767060e+00 2.510193988153902253e-02
1.804291845493562363e+00 2.717609192600669785e-02
1.810872675250357666e+00 2.881847689806374402e-02
1.817453505007153414e+00 2.688245871647149121e-02
1.824034334763948717e+00 2.611012239748829178e-02
1.830615164520744020e+00 2.775654127379365357e-02
1.837195994277539324e+00 2.622974041308795412e-02
1.843776824034335071e+00 2.720945367666135345e-02
1.850357653791130375e+00 2.630151841666157272e-02
1.856938483547925678e+00 2.708999728276040644e-02
1.863519313304721425e+00 2.732419742763565404e-02
1.870100143061516729e+00 2.763071818293712581e-02
1.876680972818312032e+00 2.806887653993540843e-02
1.883261802575107335e+00 2.869077833820967913e-02
1.889842632331903083e+00 2.768339324155440206e-02
1.896423462088698386e+00 2.741860049420795017e-02
1.903004291845493690e+00 2.928912646823095267e-02
1.909585121602288993e+00 2.591977396334105288e-02
1.916165951359084740e+00 2.800404865578016989e-02
1.922746781115880044e+00 2.836071498856809411e-02
1.929327610872675347e+00 2.575181409907573854e-02
1.935908440629470650e+00 2.647894654609680293e-02
1.942489270386266398e+00 2.714444211599151280e-02
1.949070100143061701e+00 2.690429221269416762e-02
1.955650929899857005e+00 2.802571659634806034e-02
1.962231759656652752e+00 2.649685913428287409e-02
1.968812589413448055e+00 2.657441883613892442e-02
1.975393419170243359e+00 2.662710641691914959e-02
1.981974248927038662e+00 2.638873363964622590e-02
1.988555078683834410e+00 2.772078703245662440e-02
1.995135908440629713e+00 2.593688784203936407e-02
2.001716738197425016e+00 2.577524626502169028e-02
2.008297567954220320e+00 2.691393287223492470e-02
2.014878397711016067e+00 2.680135161730248794e-02
2.021459227467811370e+00 2.664941207467323714e-02
2.028040057224606674e+00 2.699988463191293347e-02
2.034620886981402421e+00 2.699633283930211874e-02
2.041201716738197725e+00 2.748382583216747721e-02
2.047782546494993028e+00 2.512879830384690677e-02
2.054363376251788331e+00 2.696768241517084538e-02
2.060944206008584079e+00 2.574585990832484184e-02
2.067525035765379382e+00 2.688729518204990496e-02
2.074105865522174685e+00 2.594699399687033087e-02
2.080686695278969989e+00 2.535602326483133231e-02
2.087267525035765736e+00 2.530712943855485328e-02
2.093848354792561040e+00 2.624161887841083493e-02
2.100429184549356343e+00 2.655021807086270849e-02
2.107010014306151646e+00 2.583562705284116884e-02
2.113590844062947394e+00 2.588508489420677031e-02
2.120171673819742697e+00 2.548767747487365801e-02
2.126752503576538000e+00 2.578900762320165269e-02
2.133333333333333748e+00 2.589138816224589162e-02
2.139914163090129051e+00 2.555514565311609379e-02
2.146494992846924355e+00 2.551164166542774225e-02
2.153075822603719658e+00 2.518181768080255539e-02
2.159656652360515405e+00 2.632477007887567763e-02
2.166237482117310709e+00 2.591486728548932431e-02
