wavelength_um transit_depth_model_for_plot
5.439584958009947568e-01 2.101925659869205085e-02
5.642911115131238331e-01 2.102336763490945948e-02
5.870013853248688962e-01 2.114638539748215154e-02
6.125336538486810811e-01 2.102115414009605998e-02
6.414632903800252528e-01 2.101196388711328369e-02
6.744894291825173083e-01 2.101006869895270454e-02
7.125002536859746938e-01 2.100988542375795826e-02
7.565867704389196424e-01 2.101220170328079243e-02
8.080589516220738622e-01 2.100834565918341390e-02
8.683979561272089365e-01 2.100729152691189344e-02
9.390888561581521854e-01 2.100552431021108710e-02
1.021271966702864686e+00 2.100502504301743692e-02
1.115214937628433267e+00 2.100482553658221049e-02
1.219857922129905070e+00 2.100570939616090704e-02
1.332792235997658281e+00 2.100618521539590958e-02
1.450845292184156810e+00 2.100460223862209153e-02
1.570915581062646504e+00 2.101205547510447483e-02
1.690554234347835028e+00 2.102463578756634532e-02
1.808123132405085043e+00 2.102159414946355373e-02
1.922676892879574773e+00 2.115510431336022068e-02
2.033758224300399764e+00 2.214965154931126945e-02
2.141219707059230259e+00 2.123530160061927810e-02
2.236615816101174214e+00 2.101672758327451790e-02
2.320762858197661593e+00 2.100542483898771087e-02
2.402598987851862322e+00 2.101113104763853434e-02
2.482235071085236111e+00 2.145553819564194331e-02
2.559787358519741929e+00 2.124162172525365794e-02
2.635367836489433735e+00 2.107455225387840775e-02
2.709086890079174026e+00 2.381472146206459195e-02
2.781048130202715463e+00 2.276933162435914107e-02
2.851349759721366173e+00 2.322888851294992174e-02
2.920082815573841639e+00 2.244907209497766856e-02
2.987332517536573917e+00 2.183716276109579774e-02
3.053177443896525567e+00 2.115122641887098864e-02
3.117690925020495829e+00 2.102782595694505444e-02
3.180940774616039857e+00 2.100808684626126466e-02
3.242989937317803939e+00 2.101698360701285268e-02
3.303896834397137550e+00 2.103094182182933466e-02
3.363715371277618438e+00 2.101219898321222274e-02
3.422496112621693953e+00 2.100659322412351884e-02
3.480285633826453839e+00 2.100720102176708778e-02
3.537128066258332204e+00 2.102915480156314354e-02
3.593063403617509977e+00 2.100632032620657064e-02
3.648130107928447607e+00 2.102002967720493012e-02
3.702363465678729426e+00 2.109220495874683868e-02
3.755797137841150324e+00 2.120350421977061986e-02
3.808461836380983900e+00 2.106979836980477430e-02
3.860387224649882487e+00 2.101845392612695582e-02
3.911600080487440234e+00 2.102562629167618879e-02
3.962127205300935540e+00 2.101233924466674313e-02
4.011992704145277422e+00 2.118956999577809377e-02
4.061219658306713498e+00 2.126629095063554964e-02
4.109830016813260656e+00 2.225953301123757833e-02
4.157843163178149837e+00 2.123654610924273142e-02
4.205280109337573791e+00 3.192906900140861370e-02
4.252158072291102542e+00 2.637267356420873454e-02
4.298495508027899703e+00 2.497480836551762770e-02
4.344308416476979851e+00 3.057627654663766514e-02
4.389612736036864860e+00 2.793149930068267867e-02
4.434423467071558100e+00 2.573186759850879662e-02
4.478754942505024594e+00 2.616361698231754740e-02
4.522620850310969942e+00 2.674371653591337689e-02
4.566034007875804157e+00 2.617221387631386842e-02
4.609006842149123706e+00 2.508504150072618857e-02
4.651551483140882404e+00 2.464261546031228794e-02
4.693678774163734246e+00 2.378678706916643668e-02
4.735399926148511796e+00 2.453618474984454317e-02
4.776725261917027510e+00 2.310001307675633303e-02
4.817664614799937794e+00 2.179013201342573300e-02
4.858227506593395972e+00 2.199760418627662306e-02
4.898423151543096488e+00 2.226542655808991245e-02
4.938260286581308556e+00 2.240603692113874237e-02
4.977747382468072246e+00 2.122540150848718429e-02
