wavelength_um transit_depth_model_for_plot
5.439584958009947568e-01 2.103280762746644397e-02
5.642911115131238331e-01 2.103677762049964775e-02
5.870013853248688962e-01 2.116464778265634075e-02
6.125336538486810811e-01 2.103644642116690375e-02
6.414632903800252528e-01 2.102553341985823054e-02
6.744894291825173083e-01 2.102416475235960661e-02
7.125002536859746938e-01 2.102984802819251112e-02
7.565867704389196424e-01 2.103292183978247923e-02
8.080589516220738622e-01 2.102903941568806667e-02
8.683979561272089365e-01 2.106226002234017070e-02
9.390888561581521854e-01 2.195453164457902839e-02
1.021271966702864686e+00 2.103384848581269992e-02
1.115214937628433267e+00 2.188857447565738246e-02
1.219857922129905070e+00 2.117505433653045499e-02
1.332792235997658281e+00 2.140144038152023281e-02
1.450845292184156810e+00 2.147095382191194224e-02
1.570915581062646504e+00 2.141106491205353041e-02
1.690554234347835028e+00 2.116907111967019153e-02
1.808123132405085043e+00 2.219406588775583306e-02
1.922676892879574773e+00 2.137220649810846890e-02
2.033758224300399764e+00 2.216207446051426250e-02
2.141219707059230259e+00 2.107322137563958503e-02
2.236615816101174214e+00 2.104162924149234962e-02
2.320762858197661593e+00 2.110342788367801717e-02
2.402598987851862322e+00 2.134874035550510252e-02
2.482235071085236111e+00 2.121851195085331862e-02
2.559787358519741929e+00 2.345521330707895855e-02
2.635367836489433735e+00 2.211095887127156184e-02
2.709086890079174026e+00 2.269243582120079872e-02
2.781048130202715463e+00 2.146328463874312351e-02
2.851349759721366173e+00 2.187886543215487520e-02
2.920082815573841639e+00 2.259449030735638519e-02
2.987332517536573917e+00 2.408792634331241925e-02
3.053177443896525567e+00 2.427844795022407118e-02
3.117690925020495829e+00 2.207384813575948360e-02
3.180940774616039857e+00 2.145210814709484423e-02
3.242989937317803939e+00 2.265671584155666204e-02
3.303896834397137550e+00 2.129342543371926660e-02
3.363715371277618438e+00 2.108527373811632660e-02
3.422496112621693953e+00 2.127087173681889085e-02
3.480285633826453839e+00 2.163283105251589955e-02
3.537128066258332204e+00 2.111541597330592740e-02
3.593063403617509977e+00 2.149812211996687816e-02
3.648130107928447607e+00 2.114820802165611954e-02
3.702363465678729426e+00 2.111272493504067968e-02
3.755797137841150324e+00 2.153007466833242040e-02
3.808461836380983900e+00 2.111220598760952388e-02
3.860387224649882487e+00 2.105077261779574743e-02
3.911600080487440234e+00 2.211442373151297977e-02
3.962127205300935540e+00 2.104728592219403185e-02
4.011992704145277422e+00 2.123291891126000142e-02
4.061219658306713498e+00 2.128842925001351791e-02
4.109830016813260656e+00 2.181738401013886067e-02
4.157843163178149837e+00 2.106280208385220495e-02
4.205280109337573791e+00 2.116216096474769076e-02
4.252158072291102542e+00 2.246773497678519749e-02
4.298495508027899703e+00 2.198742589532475325e-02
4.344308416476979851e+00 2.108298293845933466e-02
4.389612736036864860e+00 2.157560927122470495e-02
4.434423467071558100e+00 2.110694379296417997e-02
4.478754942505024594e+00 2.126008867586983569e-02
4.522620850310969942e+00 2.105631473638006068e-02
4.566034007875804157e+00 2.201408410392948975e-02
4.609006842149123706e+00 2.131064492926899173e-02
4.651551483140882404e+00 2.151899177129584437e-02
4.693678774163734246e+00 2.102623952513953814e-02
4.735399926148511796e+00 2.105235121174727636e-02
4.776725261917027510e+00 2.617174017543254586e-02
4.817664614799937794e+00 2.122940331688484561e-02
4.858227506593395972e+00 2.111756423353975884e-02
4.898423151543096488e+00 2.110740887530900695e-02
4.938260286581308556e+00 2.181106858178851957e-02
4.977747382468072246e+00 2.114221633271156156e-02
