wavelength_um transit_depth_model_for_plot
5.439584958009947568e-01 2.111069436798473919e-02
5.642911115131238331e-01 2.111489112956493192e-02
5.870013853248688962e-01 2.124194451812319237e-02
6.125336538486810811e-01 2.111303642232379568e-02
6.414632903800252528e-01 2.110326718096668455e-02
6.744894291825173083e-01 2.110143987489299447e-02
7.125002536859746938e-01 2.110246604694410860e-02
7.565867704389196424e-01 2.110502905941673280e-02
8.080589516220738622e-01 2.110110401798051191e-02
8.683979561272089365e-01 2.110723468950580217e-02
9.390888561581521854e-01 2.136101739417395340e-02
1.021271966702864686e+00 2.109928254225456115e-02
1.115214937628433267e+00 2.158165123317763029e-02
1.219857922129905070e+00 2.113016042997665003e-02
1.332792235997658281e+00 2.121753956442842468e-02
1.450845292184156810e+00 2.120537014026219191e-02
1.570915581062646504e+00 2.118776892798298825e-02
1.690554234347835028e+00 2.115291992295346979e-02
1.808123132405085043e+00 2.163149470816014622e-02
1.922676892879574773e+00 2.129913142802176626e-02
2.033758224300399764e+00 2.165538424721790214e-02
2.141219707059230259e+00 2.110934166608046184e-02
2.236615816101174214e+00 2.110095381779109047e-02
2.320762858197661593e+00 2.111433576721687480e-02
2.402598987851862322e+00 2.117048635516583649e-02
2.482235071085236111e+00 2.122548087728573507e-02
2.559787358519741929e+00 2.256182820798700861e-02
2.635367836489433735e+00 2.160670292822063077e-02
2.709086890079174026e+00 2.272144860940777597e-02
2.781048130202715463e+00 2.125812555870488715e-02
2.851349759721366173e+00 2.145181377456487418e-02
2.920082815573841639e+00 2.167288092028481217e-02
2.987332517536573917e+00 2.325857791796560534e-02
3.053177443896525567e+00 2.329767099083079537e-02
3.117690925020495829e+00 2.144561110744791152e-02
3.180940774616039857e+00 2.119880745173535752e-02
3.242989937317803939e+00 2.190536809450240388e-02
3.303896834397137550e+00 2.116260911586899732e-02
3.363715371277618438e+00 2.111316543187856734e-02
3.422496112621693953e+00 2.116029998055391284e-02
3.480285633826453839e+00 2.124728730879531582e-02
3.537128066258332204e+00 2.113599862972810953e-02
3.593063403617509977e+00 2.120852314280905621e-02
3.648130107928447607e+00 2.113908929431653969e-02
3.702363465678729426e+00 2.118697272044296406e-02
3.755797137841150324e+00 2.137130570723507969e-02
3.808461836380983900e+00 2.116849118980321937e-02
3.860387224649882487e+00 2.111362165378444580e-02
3.911600080487440234e+00 2.149942401381438328e-02
3.962127205300935540e+00 2.110575452047237441e-02
4.011992704145277422e+00 2.128729982023268297e-02
4.061219658306713498e+00 2.135923095004382821e-02
4.109830016813260656e+00 2.144318888207707649e-02
4.157843163178149837e+00 2.111004536741220572e-02
4.205280109337573791e+00 2.687962513212479101e-02
4.252158072291102542e+00 2.238531892147226088e-02
4.298495508027899703e+00 2.159726937850870929e-02
4.344308416476979851e+00 2.535912073918366802e-02
4.389612736036864860e+00 2.358814159099238347e-02
4.434423467071558100e+00 2.158727632798571744e-02
4.478754942505024594e+00 2.217180883827671659e-02
4.522620850310969942e+00 2.305975106539983124e-02
4.566034007875804157e+00 2.226311649357110012e-02
4.609006842149123706e+00 2.146601768540977451e-02
4.651551483140882404e+00 2.135954738898846947e-02
4.693678774163734246e+00 2.115127688628483382e-02
4.735399926148511796e+00 2.131116633137925334e-02
4.776725261917027510e+00 2.810630059681783546e-02
4.817664614799937794e+00 2.114728788768516221e-02
4.858227506593395972e+00 2.112372531649909721e-02
4.898423151543096488e+00 2.146346884690500390e-02
4.938260286581308556e+00 2.131964718230954306e-02
4.977747382468072246e+00 2.114557914570561539e-02
