wavelength_um transit_depth_model_for_plot
5.439584958009947568e-01 2.118925066852692454e-02
5.642911115131238331e-01 2.119346837664363992e-02
5.870013853248688962e-01 2.132110838083771387e-02
6.125336538486810811e-01 2.119160859328955704e-02
6.414632903800252528e-01 2.118179343207471366e-02
6.744894291825173083e-01 2.117995864639523815e-02
7.125002536859746938e-01 2.118099101530204753e-02
7.565867704389196424e-01 2.118356695938004158e-02
8.080589516220738622e-01 2.117962411834725667e-02
8.683979561272089365e-01 2.118578568178377045e-02
9.390888561581521854e-01 2.144076879877789346e-02
1.021271966702864686e+00 2.117779501067388465e-02
1.115214937628433267e+00 2.166213738364551264e-02
1.219857922129905070e+00 2.120881803328898696e-02
1.332792235997658281e+00 2.129660154514604817e-02
1.450845292184156810e+00 2.128439267631858367e-02
1.570915581062646504e+00 2.126669403668226405e-02
1.690554234347835028e+00 2.123167974347057660e-02
1.808123132405085043e+00 2.171227425263852137e-02
1.922676892879574773e+00 2.137819281063681534e-02
2.033758224300399764e+00 2.173261947373392525e-02
2.141219707059230259e+00 2.118714177391727016e-02
2.236615816101174214e+00 2.117943949328979919e-02
2.320762858197661593e+00 2.119279527199661659e-02
2.402598987851862322e+00 2.124931422133901140e-02
2.482235071085236111e+00 2.130298573726487066e-02
2.559787358519741929e+00 2.264614572601684681e-02
2.635367836489433735e+00 2.168721050855024202e-02
2.709086890079174026e+00 2.279697126002160068e-02
2.781048130202715463e+00 2.131112305051038533e-02
2.851349759721366173e+00 2.141477611727416602e-02
2.920082815573841639e+00 2.174817182711586555e-02
2.987332517536573917e+00 2.334447106439930045e-02
3.053177443896525567e+00 2.338448551606610651e-02
3.117690925020495829e+00 2.152566664734957211e-02
3.180940774616039857e+00 2.127778888843994201e-02
3.242989937317803939e+00 2.198730654965690146e-02
3.303896834397137550e+00 2.124137320492531372e-02
3.363715371277618438e+00 2.119173522846936122e-02
3.422496112621693953e+00 2.123910441735386845e-02
3.480285633826453839e+00 2.132651069072031072e-02
3.537128066258332204e+00 2.121468552190743442e-02
3.593063403617509977e+00 2.128756365924833541e-02
3.648130107928447607e+00 2.121779427964994719e-02
3.702363465678729426e+00 2.126590948888130300e-02
3.755797137841150324e+00 2.145109423083722822e-02
3.808461836380983900e+00 2.124733898996100309e-02
3.860387224649882487e+00 2.119220387945998027e-02
3.911600080487440234e+00 2.157976791643725911e-02
3.962127205300935540e+00 2.118429093694480791e-02
4.011992704145277422e+00 2.136668200105940399e-02
4.061219658306713498e+00 2.143892582541087957e-02
4.109830016813260656e+00 2.151164290296003062e-02
4.157843163178149837e+00 2.118785331290941668e-02
4.205280109337573791e+00 2.309794327205855896e-02
4.252158072291102542e+00 2.206086541877918042e-02
4.298495508027899703e+00 2.145267056827858745e-02
4.344308416476979851e+00 2.196296301317705521e-02
4.389612736036864860e+00 2.167031362504387090e-02
4.434423467071558100e+00 2.119874976089294524e-02
4.478754942505024594e+00 2.140315555530250199e-02
4.522620850310969942e+00 2.143976957196701630e-02
4.566034007875804157e+00 2.149038928148286343e-02
4.609006842149123706e+00 2.124389911697635580e-02
4.651551483140882404e+00 2.129827231794811232e-02
4.693678774163734246e+00 2.117730117928982164e-02
4.735399926148511796e+00 2.118876893593524616e-02
4.776725261917027510e+00 2.529676152969171157e-02
4.817664614799937794e+00 2.122168614834910386e-02
4.858227506593395972e+00 2.119642850175964405e-02
4.898423151543096488e+00 2.119827461338222654e-02
4.938260286581308556e+00 2.138738362969429610e-02
4.977747382468072246e+00 2.121881703560295901e-02
