wavelength_um transit_depth_model_for_plot
5.439584958009947568e-01 2.122196620813063261e-02
5.642911115131238331e-01 2.122624384402294409e-02
5.870013853248688962e-01 2.135382236083521387e-02
6.125336538486810811e-01 2.122400639313404627e-02
6.414632903800252528e-01 2.121446443853083549e-02
6.744894291825173083e-01 2.121251691810120688e-02
7.125002536859746938e-01 2.121240043005161863e-02
7.565867704389196424e-01 2.121482218346040435e-02
8.080589516220738622e-01 2.121083141003725706e-02
8.683979561272089365e-01 2.121013053496337633e-02
9.390888561581521854e-01 2.122257895898912311e-02
1.021271966702864686e+00 2.120747867675428291e-02
1.115214937628433267e+00 2.125869370585105680e-02
1.219857922129905070e+00 2.120869032474816812e-02
1.332792235997658281e+00 2.121465649975651235e-02
1.450845292184156810e+00 2.121247713519121281e-02
1.570915581062646504e+00 2.121354097557423546e-02
1.690554234347835028e+00 2.122704304478889928e-02
1.808123132405085043e+00 2.124675918105140004e-02
1.922676892879574773e+00 2.127508965952848788e-02
2.033758224300399764e+00 2.126710233408708392e-02
2.141219707059230259e+00 2.120935651548275583e-02
2.236615816101174214e+00 2.120759917544874293e-02
2.320762858197661593e+00 2.120783628796385142e-02
2.402598987851862322e+00 2.121124777000217912e-02
2.482235071085236111e+00 2.126175364945981708e-02
2.559787358519741929e+00 2.157277788586895936e-02
2.635367836489433735e+00 2.127248278327665762e-02
2.709086890079174026e+00 2.280951006583884291e-02
2.781048130202715463e+00 2.125214722890597305e-02
2.851349759721366173e+00 2.123781166679613100e-02
2.920082815573841639e+00 2.125423303675413531e-02
2.987332517536573917e+00 2.190516436512737752e-02
3.053177443896525567e+00 2.194767705365958596e-02
3.117690925020495829e+00 2.122784238433253479e-02
3.180940774616039857e+00 2.121197918861620485e-02
3.242989937317803939e+00 2.127924875626611978e-02
3.303896834397137550e+00 2.121844445748312380e-02
3.363715371277618438e+00 2.121169652399964092e-02
3.422496112621693953e+00 2.121193722136938825e-02
3.480285633826453839e+00 2.121691958670623643e-02
3.537128066258332204e+00 2.123281022140862187e-02
3.593063403617509977e+00 2.121431991780280135e-02
3.648130107928447607e+00 2.122429450235989445e-02
3.702363465678729426e+00 2.129781448594939355e-02
3.755797137841150324e+00 2.141622615581954131e-02
3.808461836380983900e+00 2.127466530294394934e-02
3.860387224649882487e+00 2.122109596667631770e-02
3.911600080487440234e+00 2.125209467960792464e-02
3.962127205300935540e+00 2.121225647917963572e-02
4.011992704145277422e+00 2.139373788633009560e-02
4.061219658306713498e+00 2.147020302668110198e-02
4.109830016813260656e+00 2.123221466828336193e-02
4.157843163178149837e+00 2.121278330569925652e-02
4.205280109337573791e+00 2.406540131180387107e-02
4.252158072291102542e+00 2.145513774496927289e-02
4.298495508027899703e+00 2.123621078322785599e-02
4.344308416476979851e+00 2.276900037808874538e-02
4.389612736036864860e+00 2.207578800399142074e-02
4.434423467071558100e+00 2.122708770281828139e-02
4.478754942505024594e+00 2.148312231341806267e-02
4.522620850310969942e+00 2.132635774108756002e-02
4.566034007875804157e+00 2.125460993647348973e-02
4.609006842149123706e+00 2.122073499369516933e-02
4.651551483140882404e+00 2.121936602070026434e-02
4.693678774163734246e+00 2.120981549264022714e-02
4.735399926148511796e+00 2.121831887271763417e-02
4.776725261917027510e+00 2.280429853523577993e-02
4.817664614799937794e+00 2.120992356274254212e-02
4.858227506593395972e+00 2.120797715531422267e-02
4.898423151543096488e+00 2.120886588010746296e-02
4.938260286581308556e+00 2.122757054367972740e-02
4.977747382468072246e+00 2.123144785670188356e-02
