wavelength_um transit_depth_model_for_plot
5.439584958009947568e-01 2.113358290658935365e-02
5.642911115131238331e-01 2.113778047106395358e-02
5.870013853248688962e-01 2.126395231019323831e-02
6.125336538486810811e-01 2.113573771251500699e-02
6.414632903800252528e-01 2.112617633415189017e-02
6.744894291825173083e-01 2.112430137514291137e-02
7.125002536859746938e-01 2.112472438688757850e-02
7.565867704389196424e-01 2.112719143429030166e-02
8.080589516220738622e-01 2.112327273280528023e-02
8.683979561272089365e-01 2.112584941878371814e-02
9.390888561581521854e-01 2.125801052790729853e-02
1.021271966702864686e+00 2.112066215090450255e-02
1.115214937628433267e+00 2.145135173799659484e-02
1.219857922129905070e+00 2.113600953517623046e-02
1.332792235997658281e+00 2.118425342204312278e-02
1.450845292184156810e+00 2.117455678260804844e-02
1.570915581062646504e+00 2.116624640619887976e-02
1.690554234347835028e+00 2.115716115296113059e-02
1.808123132405085043e+00 2.144037613962041650e-02
1.922676892879574773e+00 2.126747481265078496e-02
2.033758224300399764e+00 2.146946142374069749e-02
2.141219707059230259e+00 2.112604267376843106e-02
2.236615816101174214e+00 2.112149345835090050e-02
2.320762858197661593e+00 2.112825018422447021e-02
2.402598987851862322e+00 2.115665348561398401e-02
2.482235071085236111e+00 2.122121707965160184e-02
2.559787358519741929e+00 2.220916264345728156e-02
2.635367836489433735e+00 2.146956301668720771e-02
2.709086890079174026e+00 2.271624878848363047e-02
2.781048130202715463e+00 2.120783685897231763e-02
2.851349759721366173e+00 2.125309461071614794e-02
2.920082815573841639e+00 2.143932884759405105e-02
2.987332517536573917e+00 2.290960864161772567e-02
3.053177443896525567e+00 2.293256037779827644e-02
3.117690925020495829e+00 2.130869734227520962e-02
3.180940774616039857e+00 2.117087544762750323e-02
3.242989937317803939e+00 2.162842972068438480e-02
3.303896834397137550e+00 2.115642633596801284e-02
3.363715371277618438e+00 2.112925848602102696e-02
3.422496112621693953e+00 2.115260544968326772e-02
3.480285633826453839e+00 2.119703187877860356e-02
3.537128066258332204e+00 2.115097780923466328e-02
3.593063403617509977e+00 2.117661143924927727e-02
3.648130107928447607e+00 2.114846176869601690e-02
3.702363465678729426e+00 2.120887990107956853e-02
3.755797137841150324e+00 2.135790780872858299e-02
3.808461836380983900e+00 2.118817861081567430e-02
3.860387224649882487e+00 2.113449591094250166e-02
3.911600080487440234e+00 2.135053997468627091e-02
3.962127205300935540e+00 2.112618606075769914e-02
4.011992704145277422e+00 2.130602921127565386e-02
4.061219658306713498e+00 2.137966184886126025e-02
4.109830016813260656e+00 2.131517623811577875e-02
4.157843163178149837e+00 2.112815181356319724e-02
4.205280109337573791e+00 2.394730655906340822e-02
4.252158072291102542e+00 2.182618551954455463e-02
4.298495508027899703e+00 2.127403210082617555e-02
4.344308416476979851e+00 2.266943532844918965e-02
4.389612736036864860e+00 2.199798070659981022e-02
4.434423467071558100e+00 2.116264813878519779e-02
4.478754942505024594e+00 2.140220685174278395e-02
4.522620850310969942e+00 2.309239721089397651e-02
4.566034007875804157e+00 2.208292518169246987e-02
4.609006842149123706e+00 2.133923541138357804e-02
4.651551483140882404e+00 2.119571238313619141e-02
4.693678774163734246e+00 2.112418718883422863e-02
4.735399926148511796e+00 2.127068748993865555e-02
4.776725261917027510e+00 2.880083599196924665e-02
4.817664614799937794e+00 2.114538274660275954e-02
4.858227506593395972e+00 2.113206318771527342e-02
4.898423151543096488e+00 2.184689642782321542e-02
4.938260286581308556e+00 2.124467917744383982e-02
4.977747382468072246e+00 2.116364474950553631e-02
