wavelength_um transit_depth_model_for_plot
5.439584958009947568e-01 2.115072560176672195e-02
5.642911115131238331e-01 2.115490195081538502e-02
5.870013853248688962e-01 2.128229093456729740e-02
6.125336538486810811e-01 2.115324025195870414e-02
6.414632903800252528e-01 2.114330606353091377e-02
6.744894291825173083e-01 2.114153375146594904e-02
7.125002536859746938e-01 2.114315735812118471e-02
7.565867704389196424e-01 2.114579993462827393e-02
8.080589516220738622e-01 2.114187918926217769e-02
8.683979561272089365e-01 2.115150921993365699e-02
9.390888561581521854e-01 2.151457187631796233e-02
1.021271966702864686e+00 2.114087205982746742e-02
1.115214937628433267e+00 2.171609835409937447e-02
1.219857922129905070e+00 2.118686966769900773e-02
1.332792235997658281e+00 2.130605766703266846e-02
1.450845292184156810e+00 2.129628788842896289e-02
1.570915581062646504e+00 2.127051399834822137e-02
1.690554234347835028e+00 2.120945033956159881e-02
1.808123132405085043e+00 2.182281382035557507e-02
1.922676892879574773e+00 2.137488834730430498e-02
2.033758224300399764e+00 2.183130848975569846e-02
2.141219707059230259e+00 2.115406457073020635e-02
2.236615816101174214e+00 2.114329539814957873e-02
2.320762858197661593e+00 2.116329123030066123e-02
2.402598987851862322e+00 2.124611306913733871e-02
2.482235071085236111e+00 2.128065684981490790e-02
2.559787358519741929e+00 2.283580849951546976e-02
2.635367836489433735e+00 2.175936833547011812e-02
2.709086890079174026e+00 2.276331559319315009e-02
2.781048130202715463e+00 2.131723251975076866e-02
2.851349759721366173e+00 2.147501119597783684e-02
2.920082815573841639e+00 2.191201279370764282e-02
2.987332517536573917e+00 2.352000578944112019e-02
3.053177443896525567e+00 2.358125730866499764e-02
3.117690925020495829e+00 2.162011253023331941e-02
3.180940774616039857e+00 2.128720248654295336e-02
3.242989937317803939e+00 2.214555553110118119e-02
3.303896834397137550e+00 2.123083704130067362e-02
3.363715371277618438e+00 2.115964417806500894e-02
3.422496112621693953e+00 2.122887431825946219e-02
3.480285633826453839e+00 2.135652347859087405e-02
3.537128066258332204e+00 2.118348227520188559e-02
3.593063403617509977e+00 2.130117222814244954e-02
3.648130107928447607e+00 2.119182013549405011e-02
3.702363465678729426e+00 2.122761511826619027e-02
3.755797137841150324e+00 2.144536770610372400e-02
3.808461836380983900e+00 2.121143141500270862e-02
3.860387224649882487e+00 2.115560909863018618e-02
3.911600080487440234e+00 2.168006633619281101e-02
3.962127205300935540e+00 2.114824333711272375e-02
4.011992704145277422e+00 2.133066533507799525e-02
4.061219658306713498e+00 2.140059147570092662e-02
4.109830016813260656e+00 2.157575450326030403e-02
4.157843163178149837e+00 2.115335724676562293e-02
4.205280109337573791e+00 2.305474299579291647e-02
4.252158072291102542e+00 2.214105471696876937e-02
4.298495508027899703e+00 2.152983896727873533e-02
4.344308416476979851e+00 2.192847975420809600e-02
4.389612736036864860e+00 2.167130346210516950e-02
4.434423467071558100e+00 2.117271697277186421e-02
4.478754942505024594e+00 2.137039434448839703e-02
4.522620850310969942e+00 2.254535318906022989e-02
4.566034007875804157e+00 2.187196137072961594e-02
4.609006842149123706e+00 2.128036708935558685e-02
4.651551483140882404e+00 2.131705348764478813e-02
4.693678774163734246e+00 2.113997552503998553e-02
4.735399926148511796e+00 2.118826115389333201e-02
4.776725261917027510e+00 2.763550302351481733e-02
4.817664614799937794e+00 2.120604447507358145e-02
4.858227506593395972e+00 2.116903439879570456e-02
4.898423151543096488e+00 2.134819912438132294e-02
4.938260286581308556e+00 2.144119984251659575e-02
4.977747382468072246e+00 2.119302932332634698e-02
