wavelength_um transit_depth_model_for_plot
5.439584958009947568e-01 2.123697218660383634e-02
5.642911115131238331e-01 2.123899456384005860e-02
5.870013853248688962e-01 2.131276535941865891e-02
6.125336538486810811e-01 2.123812900617693539e-02
6.414632903800252528e-01 2.123145487926477240e-02
6.744894291825173083e-01 2.123031396053400022e-02
7.125002536859746938e-01 2.123125312062406483e-02
7.565867704389196424e-01 2.123261967397012395e-02
8.080589516220738622e-01 2.123023184055233825e-02
8.683979561272089365e-01 2.123588602161378264e-02
9.390888561581521854e-01 2.146212464263266839e-02
1.021271966702864686e+00 2.122900310449039180e-02
1.115214937628433267e+00 2.166381044092618308e-02
1.219857922129905070e+00 2.125647717428733388e-02
1.332792235997658281e+00 2.133429601757803537e-02
1.450845292184156810e+00 2.132344287888791531e-02
1.570915581062646504e+00 2.130701995863770390e-02
1.690554234347835028e+00 2.127063170315338439e-02
1.808123132405085043e+00 2.170613498564595220e-02
1.922676892879574773e+00 2.139616564769313348e-02
2.033758224300399764e+00 2.171957769125341595e-02
2.141219707059230259e+00 2.123659065602910914e-02
2.236615816101174214e+00 2.123028394319497955e-02
2.320762858197661593e+00 2.124227931516817908e-02
2.402598987851862322e+00 2.129213753982017385e-02
2.482235071085236111e+00 2.133715727274055826e-02
2.559787358519741929e+00 2.253469694301593260e-02
2.635367836489433735e+00 2.168461702774103841e-02
2.709086890079174026e+00 2.236551787839437602e-02
2.781048130202715463e+00 2.133523802936710539e-02
2.851349759721366173e+00 2.143393297483172505e-02
2.920082815573841639e+00 2.173322462059918206e-02
2.987332517536573917e+00 2.319351255141095108e-02
3.053177443896525567e+00 2.322990431408774800e-02
3.117690925020495829e+00 2.153797209618845548e-02
3.180940774616039857e+00 2.131760721798622166e-02
3.242989937317803939e+00 2.195237385863077137e-02
3.303896834397137550e+00 2.128237820341875516e-02
3.363715371277618438e+00 2.123994551835965000e-02
3.422496112621693953e+00 2.128269445106720920e-02
3.480285633826453839e+00 2.135998272029368539e-02
3.537128066258332204e+00 2.125381711568604878e-02
3.593063403617509977e+00 2.132557714304597618e-02
3.648130107928447607e+00 2.125901757942053744e-02
3.702363465678729426e+00 2.127651598527388610e-02
3.755797137841150324e+00 2.140943367326466826e-02
3.808461836380983900e+00 2.126780681387979016e-02
3.860387224649882487e+00 2.123688966592681554e-02
3.911600080487440234e+00 2.158153348746788547e-02
3.962127205300935540e+00 2.123292237499513346e-02
4.011992704145277422e+00 2.133734923845680836e-02
4.061219658306713498e+00 2.137966184886126025e-02
4.109830016813260656e+00 2.152603452290859434e-02
4.157843163178149837e+00 2.123594310935101453e-02
4.205280109337573791e+00 2.126533029351661275e-02
4.252158072291102542e+00 2.201538230736977200e-02
4.298495508027899703e+00 2.146910337457162352e-02
4.344308416476979851e+00 2.124099269256476269e-02
4.389612736036864860e+00 2.136300771551993480e-02
4.434423467071558100e+00 2.124224724203151518e-02
4.478754942505024594e+00 2.134407430161639266e-02
4.522620850310969942e+00 2.123367223043720609e-02
4.566034007875804157e+00 2.148781236606910061e-02
4.609006842149123706e+00 2.128362926821867479e-02
4.651551483140882404e+00 2.133402902902040155e-02
4.693678774163734246e+00 2.122764212373817044e-02
4.735399926148511796e+00 2.123432757787745151e-02
4.776725261917027510e+00 2.466964233393999575e-02
4.817664614799937794e+00 2.126754088684160160e-02
4.858227506593395972e+00 2.124543545924444804e-02
4.898423151543096488e+00 2.124287595082356012e-02
4.938260286581308556e+00 2.141171951755385661e-02
4.977747382468072246e+00 2.125733934455377103e-02
