# t0 per a inc rp u1 u2 c0 c1
2.459771335497530177e+06 4.058981359443168735e+00 1.132508155513510140e+01 8.759388995795650601e+01 1.478256561605923169e-01 -1.157473619492091765e-01 1.979802196519881430e-01 9.999071693996233190e-01 -4.634602564335806203e-03
2.459771335473548621e+06 4.048936985098319674e+00 1.179384024221519489e+01 8.849064279644665021e+01 1.435285474861385802e-01 -2.919277367345808338e-01 9.741282854253390244e-01 9.998861048697275100e-01 -3.111249047712841883e-03
2.459771335823754780e+06 4.061886532587015708e+00 1.162252825553840729e+01 8.795835379790246122e+01 1.460983458820444836e-01 1.901648802391333326e-01 4.685601014051128665e-02 9.999271389347356154e-01 -5.722608755917945982e-03
2.459771335451279301e+06 4.049177946061152333e+00 1.131880420553987143e+01 8.785273431990113124e+01 1.443404790280355399e-01 -1.384065512129190323e-01 6.807889308639751835e-01 9.999711899495996592e-01 -4.769710107349325531e-03
2.459771335806609131e+06 4.048161646763499100e+00 1.145416543775090013e+01 8.795854507717757542e+01 1.443500051096067160e-01 -1.893715314883328005e-01 7.890143383700032320e-01 9.998845436532141084e-01 -4.537897067227392861e-03
2.459771335837948136e+06 4.048183444345713866e+00 1.173166574341613355e+01 8.826166039053359214e+01 1.447015495005828933e-01 -3.621411842701839356e-01 9.746901265951239957e-01 1.000001645799725836e+00 -5.002206508707832296e-03
2.459771335598382168e+06 4.056535274350386189e+00 1.144130849537234162e+01 8.808110445922781651e+01 1.447590590399175925e-01 -1.407988731880421285e-01 7.508766976771923396e-01 1.000016244684894584e+00 -3.966024603510497071e-03
2.459771335538317449e+06 4.050338199565783448e+00 1.129912920434067125e+01 8.751712770347478454e+01 1.491220562622416479e-01 5.150114793311342254e-01 -6.170417858926082744e-01 9.999076926795834597e-01 -5.859366676851074721e-03
2.459771335535830352e+06 4.046363488330929847e+00 1.092166132245390386e+01 8.744648553300018534e+01 1.457140285163833759e-01 9.687751690877602351e-02 3.319710539024300910e-01 9.999277850365835274e-01 -4.608901962755517119e-03
2.459771335339621641e+06 4.047581060820615306e+00 1.111546953088645218e+01 8.744528708028698816e+01 1.480777413672637599e-01 4.367640861654605300e-01 -3.425447631176177232e-01 9.999126655037827716e-01 -4.128617774144043365e-03
2.459771335555264726e+06 4.062587737852279446e+00 1.189364568611535056e+01 8.837725157413106558e+01 1.452975403303554125e-01 3.755371390290523359e-01 8.908467028975297630e-03 1.000002983595444483e+00 -4.465051018657300794e-03
2.459771335521006491e+06 4.064902582026172162e+00 1.171005960156060688e+01 8.798551366348229408e+01 1.469246437347943579e-01 3.359778590494066353e-01 -1.400096186219310646e-01 9.999170592743099606e-01 -5.111600420276475078e-03
2.459771335832252167e+06 4.064247204101104849e+00 1.110498057170350172e+01 8.735104740326565320e+01 1.493423414882810163e-01 6.010036687504951569e-01 -6.783769246070349146e-01 9.997940743786795093e-01 -5.907865140221861891e-03
2.459771335551673546e+06 4.063377589367139997e+00 1.130357397973422806e+01 8.767509561803818485e+01 1.473279509282312272e-01 7.470522566546092258e-02 1.960998869561139113e-01 1.000004364071098495e+00 -4.418529452784696922e-03
2.459771336007281207e+06 4.059611966961415241e+00 1.127383242576482481e+01 8.755088408237675424e+01 1.478537708866774769e-01 4.476738810443618988e-01 -3.990841478215477744e-01 9.998881930457100831e-01 -5.134311552490672045e-03
2.459771335501280613e+06 4.049442875262609931e+00 1.153853152398176363e+01 8.789027847865516208e+01 1.464942611758203450e-01 1.438660679609409521e-01 1.149254809730335669e-01 9.999734939168001269e-01 -6.325839401781132437e-03
2.459771335598990321e+06 4.049047701031674329e+00 1.129697546647417461e+01 8.775337497310810875e+01 1.451265348057625693e-01 4.083458120405047964e-02 4.497844019580440333e-01 9.999176726734889664e-01 -5.943877615882553478e-03
2.459771335691711400e+06 4.062494245568233353e+00 1.140270743440505719e+01 8.758213889674341601e+01 1.486686674117445595e-01 5.549252804899735825e-01 -5.662805479092408723e-01 9.999709465370886230e-01 -4.617330359919969048e-03
2.459771335517979227e+06 4.051545254740925195e+00 1.172882919302157489e+01 8.824352124599005265e+01 1.458947932490222976e-01 7.761850401681139044e-02 3.705259873060829934e-01 1.000120815383590767e+00 -6.885983229015375275e-03
2.459771335865211207e+06 4.053686942718455199e+00 1.133571888757393253e+01 8.801317519482299190e+01 1.430073589062342831e-01 -2.272981866469858114e-01 9.846803633438058201e-01 9.999023684354797492e-01 -5.748829121437770868e-03
2.459771335618133191e+06 4.048402015185376790e+00 1.120669228043009191e+01 8.755928664146273377e+01 1.478174047770627331e-01 3.323775054508628646e-01 -2.192952863016810749e-01 9.998498360834764398e-01 -4.690117557940614440e-03
2.459771335163205396e+06 4.053873173034454602e+00 1.143729652228108229e+01 8.756864556450348402e+01 1.489697355843183635e-01 4.218813714737912335e-01 -5.003948393074296730e-01 9.999284704529936008e-01 -4.769356864354163533e-03
2.459771335569368675e+06 4.050150060298617127e+00 1.117406840815356617e+01 8.746335069184196698e+01 1.471978376229548524e-01 -1.507374361453697187e-01 4.328376036139977012e-01 9.999265183157882708e-01 -4.382412729670693251e-03
2.459771335340050515e+06 4.054062950317315561e+00 1.144494146363823894e+01 8.781467665942579970e+01 1.462253338766997257e-01 -1.698512685096058294e-01 5.246161569382019607e-01 9.998617467467619813e-01 -6.406514814581515393e-03
2.459771335545189213e+06 4.057121806537886677e+00 1.104670421775380973e+01 8.742071102915289771e+01 1.462445493828724574e-01 -7.048689292891523184e-02 4.528221373341748679e-01 9.997963032620647006e-01 -6.235602898414124157e-03
2.459771335651717149e+06 4.061296589593946571e+00 1.121701565315285087e+01 8.755546685556625164e+01 1.460670046251386356e-01 -1.486374315700533799e-01 5.848165951974301224e-01 9.998764887423483572e-01 -5.319863381289587773e-03
2.459771335835592356e+06 4.060584474759886042e+00 1.158711352060480770e+01 8.786157656763593593e+01 1.464226265954105266e-01 1.122992258628391360e-01 1.822231925822237475e-01 9.998586203859929356e-01 -5.650803561687279403e-03
2.459771335728710052e+06 4.063350155909787986e+00 1.186212173677910187e+01 8.835498878529354272e+01 1.439207992020959115e-01 -1.215049253910228666e-01 5.854819433905089632e-01 9.998350413598779962e-01 -4.472252986643261360e-03
2.459771335656502750e+06 4.062280004221373808e+00 1.091242895768504262e+01 8.716190344821178826e+01 1.495334029011141930e-01 3.950185081376346441e-02 5.183235054195614588e-03 9.998990858136865834e-01 -5.140035531349691940e-03
2.459771335578600410e+06 4.048853648644819891e+00 1.157492972548332943e+01 8.786660326937811760e+01 1.479600692505604331e-01 4.538331573618834547e-01 -4.149989469926019803e-01 1.000002200115457818e+00 -5.412991832776717187e-03
2.459771335809145588e+06 4.057368539566973631e+00 1.144208344160140634e+01 8.787265991814264510e+01 1.457564096539364917e-01 -4.964016795982895136e-02 4.763756267706151792e-01 1.000043111944878493e+00 -4.803546325324580327e-03
2.459771335280590691e+06 4.050434117393305833e+00 1.073568197775656330e+01 8.705973153596828240e+01 1.486056394136050507e-01 2.514090222411299314e-01 -9.846819756074534635e-02 9.999654819586146770e-01 -4.961254225364418111e-03
2.459771335379498545e+06 4.052125601721626502e+00 1.184205964935759248e+01 8.835523846931079106e+01 1.441906993820657734e-01 -1.085961334040767834e-01 6.274362792636635211e-01 9.998179690376365336e-01 -5.455303331832915201e-03
2.459771335407761391e+06 4.061798877509996686e+00 1.136185985440360646e+01 8.804779753451343538e+01 1.428346483023298918e-01 -2.815532277060118216e-01 9.807280619692673174e-01 9.998033535717775200e-01 -5.501921624434837066e-03
2.459771335457908921e+06 4.053032687181839400e+00 1.118524792524937084e+01 8.751041658473889129e+01 1.482293758959423169e-01 9.977174743742736607e-02 1.417111947817938644e-01 9.999707386596301539e-01 -5.316545823845832477e-03
