# t0 per a inc rp u1 u2 c0 c1
2.459771335732884705e+06 4.052205038523931435e+00 1.159577904684253014e+01 8.812596235938067935e+01 1.451645358309170131e-01 -1.209858280227353727e-01 5.557321451302988935e-01 9.998211330895494520e-01 -4.068540068337068473e-03
2.459771335673904512e+06 4.054870389241693296e+00 1.140705268709165843e+01 8.774759182591003537e+01 1.456710087004058907e-01 -1.105125281263459602e-01 4.595937002782144454e-01 9.997276527206605534e-01 -5.945785800441876282e-03
2.459771335985156707e+06 4.057178403488109986e+00 1.095661724212710197e+01 8.730749186078027435e+01 1.472373974767928195e-01 -2.904553999674474030e-01 5.471361908909191385e-01 9.998840490002287584e-01 -3.633784385775876667e-03
2.459771335740990471e+06 4.060074801991865989e+00 1.145400667593106014e+01 8.788459006036785581e+01 1.464348217695264909e-01 2.297553238192026615e-02 3.631113272433346140e-01 9.999974102348636595e-01 -5.404500963013522674e-03
2.459771335397193674e+06 4.049320055964892973e+00 1.196274208425835539e+01 8.838646897310842121e+01 1.450038856384817110e-01 7.506698585187843165e-02 2.426909157921981475e-01 9.998577579255969461e-01 -5.769135920990922303e-03
2.459771335968028288e+06 4.054949030064371129e+00 1.140469726145154894e+01 8.779724537654189476e+01 1.462754077377823869e-01 -2.105418945115094531e-01 5.759863701465540720e-01 9.999768264976097720e-01 -4.398755172669348290e-03
2.459771335825953633e+06 4.057826088410919851e+00 1.137154623660647346e+01 8.778314151704549317e+01 1.454216638238451376e-01 -2.060046724447768818e-01 6.846188990955810461e-01 9.998694370234020301e-01 -5.250821959649872722e-03
2.459771335482980125e+06 4.050585693506900675e+00 1.153503898955311158e+01 8.797826223276413771e+01 1.455209291897229806e-01 2.782468837797508199e-03 4.122021086422524294e-01 9.998260257224493852e-01 -2.915263180005830956e-03
2.459771335827386938e+06 4.055106053213235917e+00 1.165908226239900003e+01 8.817171259909501657e+01 1.442366026791336020e-01 -1.215561925937349574e-01 6.370427883189822005e-01 9.998263737671316820e-01 -4.717611284306459478e-03
2.459771335542195011e+06 4.056960230080965957e+00 1.120158760286675736e+01 8.761103509783943366e+01 1.465090784523680467e-01 -9.215866472944590770e-02 4.260510341400023937e-01 9.999710859681747444e-01 -2.579691037061225892e-03
2.459771335404747166e+06 4.049685298801775524e+00 1.112562125227731613e+01 8.741982645886437808e+01 1.484308702064160435e-01 2.183523511644908099e-02 1.938214962609714487e-01 1.000073956503631623e+00 -4.779096244133120876e-03
