# wl_center_um depth depth_err_lo depth_err_hi
5.749999999999999556e-01 2.232950331879337419e-02 1.298282220999272263e-05 1.259132824871569967e-05
7.250000000000000888e-01 2.165958542588507924e-02 7.877557506884291794e-06 7.591789609993210286e-06
8.750000000000000000e-01 2.160959077268628792e-02 7.867644238601645412e-06 7.840140013287699716e-06
1.024999999999999911e+00 2.148583159563807743e-02 7.520293781315690040e-06 7.571390212200712622e-06
1.175000000000000044e+00 2.097158625715650135e-02 2.093528872050554046e-05 2.127617600174505630e-05
1.324999999999999956e+00 2.119266888294765380e-02 8.118063836406314016e-06 8.125482823913982022e-06
1.475000000000000089e+00 2.196265930389903337e-02 9.187449401253100500e-06 9.189529109106947535e-06
1.625000000000000000e+00 2.119262622342248450e-02 1.089148446583101948e-05 1.113933137468145484e-05
1.774999999999999911e+00 2.141639107598677233e-02 1.175208531709048820e-05 1.179778289260580149e-05
1.924999999999999822e+00 2.162620121220744027e-02 1.358933197715544994e-05 1.343985845909251298e-05
2.075000000000000178e+00 2.126691687148715704e-02 1.490764842325409401e-05 1.507555418998884900e-05
2.224999999999999645e+00 2.110273809295180186e-02 1.540157299845593131e-05 1.550996444615176939e-05
2.375000000000000000e+00 2.141330155974861468e-02 1.679418133300816796e-05 1.696411410475814896e-05
2.525000000000000355e+00 2.180776368019517186e-02 1.825615181504092188e-05 1.772879890097819877e-05
2.674999999999999822e+00 2.214978746195996051e-02 1.965049075198371797e-05 1.953164711305035994e-05
2.825000000000000178e+00 2.225317198143089703e-02 2.079889277802407510e-05 2.091039694701590790e-05
2.974999999999999645e+00 2.209079573251617953e-02 2.335928632693148876e-05 2.328000039565278345e-05
3.125000000000000000e+00 2.190348709433340493e-02 2.392308281963864691e-05 2.404821696463943503e-05
3.274999999999999911e+00 2.156123592103915271e-02 2.560927335660753701e-05 2.527698688612259326e-05
3.424999999999999822e+00 2.143601221258095713e-02 2.700268888115170407e-05 2.679492884560819022e-05
3.575000000000000178e+00 2.132886859624411047e-02 2.821543444499544084e-05 2.803334284610589644e-05
3.724999999999999645e+00 2.114587230851908833e-02 3.082877850332788050e-05 3.056820868413759329e-05
3.875000000000000000e+00 2.115577045111047966e-02 3.391910742404219414e-05 3.490386837650197305e-05
4.024999999999999467e+00 2.138267881204743842e-02 3.635444235480095321e-05 3.557429474871157127e-05
4.174999999999999822e+00 2.145246980638720186e-02 3.754048269275986338e-05 3.725473220900915594e-05
4.325000000000000178e+00 2.251895389580683277e-02 4.002406089977789128e-05 3.986175236307329395e-05
4.474999999999999645e+00 2.203469704882377381e-02 4.522552606912172424e-05 4.482405203773062730e-05
4.625000000000000000e+00 2.167365102142502359e-02 4.843425336701484563e-05 4.811449766523034910e-05
4.775000000000000355e+00 2.150294071263171569e-02 4.979043587111098290e-05 4.982431722887550873e-05
4.924999999999999822e+00 2.134041288832619690e-02 5.467401873986144079e-05 5.365598401413720908e-05
