wavelength_um transit_depth_model
5.090295518591889667e-01 2.637310026258942591e-02
5.256356214964841289e-01 2.637162349527768720e-02
5.439584958009947568e-01 2.637178342553375687e-02
5.642911115131238331e-01 2.637544203728752965e-02
5.870013853248688962e-01 2.648540514895054987e-02
6.125336538486810811e-01 2.637420224800624338e-02
6.414632903800252528e-01 2.636580770252658357e-02
6.744894291825173083e-01 2.636436798409847598e-02
7.125002536859746938e-01 2.636593028982982603e-02
7.565867704389196424e-01 2.636826660826239663e-02
8.080589516220738622e-01 2.636495480689488718e-02
8.683979561272089365e-01 2.637395065708809938e-02
9.390888561581521854e-01 2.670890153096608724e-02
1.021271966702864686e+00 2.636438989404414623e-02
1.115214937628433267e+00 2.688904008190272713e-02
1.219857922129905070e+00 2.640697807358573929e-02
1.332792235997658281e+00 2.651649134826919788e-02
1.450845292184156810e+00 2.650801613591016043e-02
1.570915581062646504e+00 2.648414547138646172e-02
1.690554234347835028e+00 2.642648754045506809e-02
1.808123132405085043e+00 2.698875193356655919e-02
1.922676892879574773e+00 2.657617961154868161e-02
2.033758224300399764e+00 2.699514552608346662e-02
2.141219707059230259e+00 2.637658355798513238e-02
2.236615816101174214e+00 2.636667318361105711e-02
2.320762858197661593e+00 2.638553575194545892e-02
2.402598987851862322e+00 2.646174157048716835e-02
2.482235071085236111e+00 2.649115217490067078e-02
2.559787358519741929e+00 2.790683186805247365e-02
2.635367836489433735e+00 2.692953317709722086e-02
2.709086890079174026e+00 2.779209288879079878e-02
2.781048130202715463e+00 2.652665124851882189e-02
2.851349759721366173e+00 2.667971059935814876e-02
2.920082815573841639e+00 2.707303477479356194e-02
2.987332517536573917e+00 2.853213254885381134e-02
3.053177443896525567e+00 2.858985032409494878e-02
3.117690925020495829e+00 2.680536787618814296e-02
3.180940774616039857e+00 2.649970531465190016e-02
3.242989937317803939e+00 2.728272232625186464e-02
3.303896834397137550e+00 2.644713643029898004e-02
3.363715371277618438e+00 2.638164789974193486e-02
3.422496112621693953e+00 2.644562343607470556e-02
3.480285633826453839e+00 2.656352608241032559e-02
3.537128066258332204e+00 2.640240659531644177e-02
3.593063403617509977e+00 2.651250177251974344e-02
3.648130107928447607e+00 2.641049648751931170e-02
3.702363465678729426e+00 2.643859283454328205e-02
3.755797137841150324e+00 2.663358009026213849e-02
3.808461836380983900e+00 2.642518203219449205e-02
3.860387224649882487e+00 2.637715427395907405e-02
3.911600080487440234e+00 2.685920084217428838e-02
3.962127205300935540e+00 2.637094944137709576e-02
4.011992704145277422e+00 2.652812313162714389e-02
4.061219658306713498e+00 2.658833160393505798e-02
4.109830016813260656e+00 2.676378434238955301e-02
4.157843163178149837e+00 2.637570200051450597e-02
4.205280109337573791e+00 2.955134433650156989e-02
4.252158072291102542e+00 2.730211918527000736e-02
4.298495508027899703e+00 2.674018455217015353e-02
4.344308416476979851e+00 2.832586227590670053e-02
4.389612736036864860e+00 2.749784473539679600e-02
4.434423467071558100e+00 2.644425300868195536e-02
4.478754942505024594e+00 2.669999064954830387e-02
4.522620850310969942e+00 2.826289136132585644e-02
4.566034007875804157e+00 2.746354698535987543e-02
4.609006842149123706e+00 2.667859930802532129e-02
4.651551483140882404e+00 2.654477783274469468e-02
4.693678774163734246e+00 2.636893485424578881e-02
4.735399926148511796e+00 2.655044937361561788e-02
4.776725261917027510e+00 3.359190313002999306e-02
4.817664614799937794e+00 2.642764840328466064e-02
4.858227506593395972e+00 2.639329207844755623e-02
4.898423151543096488e+00 2.720949418759818078e-02
4.938260286581308556e+00 2.665254629196575978e-02
4.977747382468072246e+00 2.642358669634295790e-02
