wavelength_um transit_depth_model_unitless
5.439584958009947568e-01 2.070935983531807870e-02
5.642911115131238331e-01 2.099491559069495070e-02
5.870013853248688962e-01 2.160794328950476836e-02
6.125336538486810811e-01 2.089087588877471327e-02
6.414632903800252528e-01 2.047546314263962858e-02
6.744894291825173083e-01 2.018906202124667176e-02
7.125002536859746938e-01 2.029465568043707646e-02
7.565867704389196424e-01 2.079887015346478657e-02
8.080589516220738622e-01 2.025747398651566236e-02
8.683979561272089365e-01 1.984372070113574194e-02
9.390888561581521854e-01 2.022652396634658581e-02
1.021271966702864686e+00 1.979914407096769122e-02
1.115214937628433267e+00 2.042961250393664566e-02
1.219857922129905070e+00 2.028759893887868010e-02
1.332792235997658281e+00 2.068626077555155152e-02
1.450845292184156810e+00 2.186488326357030262e-02
1.570915581062646504e+00 2.078724123241830479e-02
1.690554234347835028e+00 2.026516829907288805e-02
1.808123132405085043e+00 2.125236151635604212e-02
1.922676892879574773e+00 2.168210564023738407e-02
2.033758224300399764e+00 2.140608520421431044e-02
2.141219707059230259e+00 2.075620662238910827e-02
2.236615816101174214e+00 2.066415539970581014e-02
2.320762858197661593e+00 2.061828229952612085e-02
2.402598987851862322e+00 2.156982705732234801e-02
2.482235071085236111e+00 2.205369772774967360e-02
2.559787358519741929e+00 2.241224404420462737e-02
2.635367836489433735e+00 2.252853500934764996e-02
2.709086890079174026e+00 2.244825455829751321e-02
2.781048130202715463e+00 2.284831202416682042e-02
2.851349759721366173e+00 2.303103755239779490e-02
2.920082815573841639e+00 2.268234485023639183e-02
2.987332517536573917e+00 2.228911709382529541e-02
3.053177443896525567e+00 2.211230937546080147e-02
3.117690925020495829e+00 2.176315920817968944e-02
3.180940774616039857e+00 2.178742492870671538e-02
3.242989937317803939e+00 2.159528963450342218e-02
3.303896834397137550e+00 2.134654746391415753e-02
3.363715371277618438e+00 2.151239810611163539e-02
3.422496112621693953e+00 2.131670966328839262e-02
3.480285633826453839e+00 2.140627422141816796e-02
3.537128066258332204e+00 2.132243346333079562e-02
3.593063403617509977e+00 2.126275859926292713e-02
3.648130107928447607e+00 2.118121942033539609e-02
3.702363465678729426e+00 2.108965620769702454e-02
3.755797137841150324e+00 2.090941194894805136e-02
3.808461836380983900e+00 2.097985313966298226e-02
3.860387224649882487e+00 2.070272920207562317e-02
3.911600080487440234e+00 2.060115294234552558e-02
3.962127205300935540e+00 2.069367679786760644e-02
4.011992704145277422e+00 2.085608513855452192e-02
4.061219658306713498e+00 2.085978068273173364e-02
4.109830016813260656e+00 2.102122202802877288e-02
4.157843163178149837e+00 2.113040934542939966e-02
4.205280109337573791e+00 2.151749528768533148e-02
4.252158072291102542e+00 2.189004274562291255e-02
4.298495508027899703e+00 2.228262181156078978e-02
4.344308416476979851e+00 2.228057688400124359e-02
4.389612736036864860e+00 2.227638416105800004e-02
4.434423467071558100e+00 2.252620864846794149e-02
4.478754942505024594e+00 2.238656670744944635e-02
4.522620850310969942e+00 2.218618506268134685e-02
4.566034007875804157e+00 2.224219374155386730e-02
4.609006842149123706e+00 2.193383327427177176e-02
4.651551483140882404e+00 2.174830738703594293e-02
4.693678774163734246e+00 2.191595097315190629e-02
4.735399926148511796e+00 2.215270625279550099e-02
4.776725261917027510e+00 2.211562571230752880e-02
4.817664614799937794e+00 2.256058781595657314e-02
4.858227506593395972e+00 2.175546512632083734e-02
4.898423151543096488e+00 2.160884427074110173e-02
4.938260286581308556e+00 2.218556791033996639e-02
4.977747382468072246e+00 2.187116630522923863e-02
