wavelength_um transit_depth_model_unitless
5.439584958009947568e-01 2.091632888962681111e-02
5.642911115131238331e-01 2.092061750867126035e-02
5.870013853248688962e-01 2.106103022433964203e-02
6.125336538486810811e-01 2.091600886479790325e-02
6.414632903800252528e-01 2.090953482324213117e-02
6.744894291825173083e-01 2.090793174890721515e-02
7.125002536859746938e-01 2.091896713634019966e-02
7.565867704389196424e-01 2.093985412606049965e-02
8.080589516220738622e-01 2.093308155521465472e-02
8.683979561272089365e-01 2.091533825851821932e-02
9.390888561581521854e-01 2.098967770903365643e-02
1.021271966702864686e+00 2.092504464188954180e-02
1.115214937628433267e+00 2.106934663419004691e-02
1.219857922129905070e+00 2.101727069709052875e-02
1.332792235997658281e+00 2.119743835670123699e-02
1.450845292184156810e+00 2.176893891983590693e-02
1.570915581062646504e+00 2.113045913366790735e-02
1.690554234347835028e+00 2.097130280036884828e-02
1.808123132405085043e+00 2.142017743179625011e-02
1.922676892879574773e+00 2.159957511126797333e-02
2.033758224300399764e+00 2.140992957620375600e-02
2.141219707059230259e+00 2.108986545985110095e-02
2.236615816101174214e+00 2.104421956296803620e-02
2.320762858197661593e+00 2.098360461275840597e-02
2.402598987851862322e+00 2.146619134593333311e-02
2.482235071085236111e+00 2.186982482302502265e-02
2.559787358519741929e+00 2.203217372999629817e-02
2.635367836489433735e+00 2.211945132463316588e-02
2.709086890079174026e+00 2.200195367025153947e-02
2.781048130202715463e+00 2.240822261894858877e-02
2.851349759721366173e+00 2.266562436001527334e-02
2.920082815573841639e+00 2.235332498237381851e-02
2.987332517536573917e+00 2.199277634891154062e-02
3.053177443896525567e+00 2.187006044889542103e-02
3.117690925020495829e+00 2.163175430806168684e-02
3.180940774616039857e+00 2.160102611400467262e-02
3.242989937317803939e+00 2.146140319577282199e-02
3.303896834397137550e+00 2.127324824003672121e-02
3.363715371277618438e+00 2.136530469054902237e-02
3.422496112621693953e+00 2.132975295624156553e-02
3.480285633826453839e+00 2.135558490836051218e-02
3.537128066258332204e+00 2.121879363573432598e-02
3.593063403617509977e+00 2.118163446291604010e-02
3.648130107928447607e+00 2.119267843173490082e-02
3.702363465678729426e+00 2.112738707150808859e-02
3.755797137841150324e+00 2.104740757412847107e-02
3.808461836380983900e+00 2.104956595722361212e-02
3.860387224649882487e+00 2.099724699936451541e-02
3.911600080487440234e+00 2.097587846156890451e-02
3.962127205300935540e+00 2.099400215304394676e-02
4.011992704145277422e+00 2.107410100436066594e-02
4.061219658306713498e+00 2.112740977730405076e-02
4.109830016813260656e+00 2.121701279034606327e-02
4.157843163178149837e+00 2.132740829036095659e-02
4.205280109337573791e+00 2.141386956617142082e-02
4.252158072291102542e+00 2.160527818493331378e-02
4.298495508027899703e+00 2.187742308685683423e-02
4.344308416476979851e+00 2.180239689021698860e-02
4.389612736036864860e+00 2.179871488108691899e-02
4.434423467071558100e+00 2.194707054179141636e-02
4.478754942505024594e+00 2.185977613502801051e-02
4.522620850310969942e+00 2.161484268658150215e-02
4.566034007875804157e+00 2.166626516612969386e-02
4.609006842149123706e+00 2.145709889317540947e-02
4.651551483140882404e+00 2.143012015474817997e-02
4.693678774163734246e+00 2.164014915619011034e-02
4.735399926148511796e+00 2.170836790840698083e-02
4.776725261917027510e+00 2.174186977248827521e-02
4.817664614799937794e+00 2.214070209824480981e-02
4.858227506593395972e+00 2.145275818055831715e-02
4.898423151543096488e+00 2.130598686839578829e-02
4.938260286581308556e+00 2.184213612295746176e-02
4.977747382468072246e+00 2.160344229141766131e-02
