wavelength_um transit_depth_model_unitless
5.439584958009947568e-01 2.105775246570944226e-02
5.642911115131238331e-01 2.106194236540541789e-02
5.870013853248688962e-01 2.120188824979571743e-02
6.125336538486810811e-01 2.105673606983731946e-02
6.414632903800252528e-01 2.105026076214299921e-02
6.744894291825173083e-01 2.104846283819448993e-02
7.125002536859746938e-01 2.105340435026195264e-02
7.565867704389196424e-01 2.107866997963312936e-02
8.080589516220738622e-01 2.106075097527270595e-02
8.683979561272089365e-01 2.105017192621017053e-02
9.390888561581521854e-01 2.108721516178840502e-02
1.021271966702864686e+00 2.105411663463751734e-02
1.115214937628433267e+00 2.113868919096553028e-02
1.219857922129905070e+00 2.111103084012988518e-02
1.332792235997658281e+00 2.123708383260687269e-02
1.450845292184156810e+00 2.164846738235557538e-02
1.570915581062646504e+00 2.118114391480556413e-02
1.690554234347835028e+00 2.108437720372604088e-02
1.808123132405085043e+00 2.139899729494119940e-02
1.922676892879574773e+00 2.152777984608209710e-02
2.033758224300399764e+00 2.137224909406587603e-02
2.141219707059230259e+00 2.115309114885809486e-02
2.236615816101174214e+00 2.112674236947801112e-02
2.320762858197661593e+00 2.108976432949436625e-02
2.402598987851862322e+00 2.152064325878109974e-02
2.482235071085236111e+00 2.182484575527394999e-02
2.559787358519741929e+00 2.191236587022642873e-02
2.635367836489433735e+00 2.194510486428778717e-02
2.709086890079174026e+00 2.183275963989137272e-02
2.781048130202715463e+00 2.221760509712684961e-02
2.851349759721366173e+00 2.243460184111570679e-02
2.920082815573841639e+00 2.216542338517435429e-02
2.987332517536573917e+00 2.181032992608060786e-02
3.053177443896525567e+00 2.171303373601665351e-02
3.117690925020495829e+00 2.155670004356804309e-02
3.180940774616039857e+00 2.150302037658591639e-02
3.242989937317803939e+00 2.139559778258503381e-02
3.303896834397137550e+00 2.126491916041601746e-02
3.363715371277618438e+00 2.132982151668139092e-02
3.422496112621693953e+00 2.132868757461485118e-02
3.480285633826453839e+00 2.136096574732690434e-02
3.537128066258332204e+00 2.125104906997804521e-02
3.593063403617509977e+00 2.122600127668425665e-02
3.648130107928447607e+00 2.122627800803122619e-02
3.702363465678729426e+00 2.121356522289518862e-02
3.755797137841150324e+00 2.114425248442634853e-02
3.808461836380983900e+00 2.115364978540945975e-02
3.860387224649882487e+00 2.110569202340350017e-02
3.911600080487440234e+00 2.109220284639348741e-02
3.962127205300935540e+00 2.110575452047237441e-02
4.011992704145277422e+00 2.115352192879968798e-02
4.061219658306713498e+00 2.119474637475994572e-02
4.109830016813260656e+00 2.126123264297258286e-02
4.157843163178149837e+00 2.132613970137883438e-02
4.205280109337573791e+00 2.125639762588256432e-02
4.252158072291102542e+00 2.131023832369325841e-02
4.298495508027899703e+00 2.130194358815316186e-02
4.344308416476979851e+00 2.136975822047009616e-02
4.389612736036864860e+00 2.134036374223642618e-02
4.434423467071558100e+00 2.156399028733415463e-02
4.478754942505024594e+00 2.162783399982916299e-02
4.522620850310969942e+00 2.147305109622222111e-02
4.566034007875804157e+00 2.163254386908999849e-02
4.609006842149123706e+00 2.147002852772122300e-02
4.651551483140882404e+00 2.141052388818130356e-02
4.693678774163734246e+00 2.160937926171390550e-02
4.735399926148511796e+00 2.170038803356600862e-02
4.776725261917027510e+00 2.174140098499343851e-02
4.817664614799937794e+00 2.211097962440672360e-02
4.858227506593395972e+00 2.148911981663420567e-02
4.898423151543096488e+00 2.131423453160904286e-02
4.938260286581308556e+00 2.184689845674168268e-02
4.977747382468072246e+00 2.160284239303524034e-02
