wavelength_um transit_depth_model_unitless
5.439584958009947568e-01 2.105775165493669818e-02
5.642911115131238331e-01 2.106194155580448646e-02
5.870013853248688962e-01 2.120188744024943672e-02
6.125336538486810811e-01 2.105673525972476604e-02
6.414632903800252528e-01 2.105025995259727709e-02
6.744894291825173083e-01 2.104846202869293734e-02
7.125002536859746938e-01 2.105340354038782308e-02
7.565867704389196424e-01 2.107866917013516070e-02
8.080589516220738622e-01 2.106075016550382553e-02
8.683979561272089365e-01 2.105017111827436546e-02
9.390888561581521854e-01 2.108721435297312638e-02
1.021271966702864686e+00 2.105411582102223456e-02
1.115214937628433267e+00 2.113868839318024453e-02
1.219857922129905070e+00 2.111102171306892747e-02
1.332792235997658281e+00 2.123708316768481083e-02
1.450845292184156810e+00 2.164846933698538756e-02
1.570915581062646504e+00 2.117767182062233952e-02
1.690554234347835028e+00 2.108432012981200157e-02
1.808123132405085043e+00 2.139899754676945556e-02
1.922676892879574773e+00 2.152806746118680545e-02
2.033758224300399764e+00 2.137307804118860483e-02
2.141219707059230259e+00 2.115324673315687604e-02
2.236615816101174214e+00 2.112674613752338684e-02
2.320762858197661593e+00 2.108545535151604144e-02
2.402598987851862322e+00 2.128019082528061559e-02
2.482235071085236111e+00 2.175472672788898373e-02
2.559787358519741929e+00 2.191232255627867387e-02
2.635367836489433735e+00 2.194581443202793872e-02
2.709086890079174026e+00 2.185954240698903539e-02
2.781048130202715463e+00 2.224732867187606544e-02
2.851349759721366173e+00 2.244446984406878176e-02
2.920082815573841639e+00 2.216737194091362648e-02
2.987332517536573917e+00 2.181063528541795846e-02
3.053177443896525567e+00 2.171306261959578612e-02
3.117690925020495829e+00 2.155670605465730139e-02
3.180940774616039857e+00 2.150302207954570693e-02
3.242989937317803939e+00 2.139559872699854995e-02
3.303896834397137550e+00 2.126492001509686092e-02
3.363715371277618438e+00 2.132982156037651830e-02
3.422496112621693953e+00 2.132868707164915084e-02
3.480285633826453839e+00 2.136096505117627761e-02
3.537128066258332204e+00 2.125104841691419569e-02
3.593063403617509977e+00 2.122600055759847615e-02
3.648130107928447607e+00 2.122627723976477920e-02
3.702363465678729426e+00 2.121356446245298982e-02
3.755797137841150324e+00 2.114425173084697601e-02
3.808461836380983900e+00 2.115364907422866148e-02
3.860387224649882487e+00 2.110569130961347656e-02
3.911600080487440234e+00 2.109220228391807395e-02
3.962127205300935540e+00 2.110575452047237441e-02
4.011992704145277422e+00 2.115352770947749247e-02
4.061219658306713498e+00 2.119479294663755356e-02
4.109830016813260656e+00 2.126127327412943510e-02
4.157843163178149837e+00 2.133850348931156868e-02
4.205280109337573791e+00 2.141140160591675085e-02
4.252158072291102542e+00 2.156022281170380875e-02
4.298495508027899703e+00 2.178349870099820576e-02
4.344308416476979851e+00 2.169961947467473687e-02
4.389612736036864860e+00 2.172364996332463993e-02
4.434423467071558100e+00 2.173331697692296866e-02
4.478754942505024594e+00 2.164791707984221186e-02
4.522620850310969942e+00 2.148087845387750688e-02
4.566034007875804157e+00 2.143540100226636741e-02
4.609006842149123706e+00 2.133195240468314241e-02
4.651551483140882404e+00 2.138187757582207457e-02
4.693678774163734246e+00 2.145173477022811054e-02
4.735399926148511796e+00 2.149642391657877183e-02
4.776725261917027510e+00 2.145993741847451036e-02
4.817664614799937794e+00 2.167142319025726002e-02
4.858227506593395972e+00 2.133952261059162900e-02
4.898423151543096488e+00 2.126528306996712872e-02
4.938260286581308556e+00 2.154560517305253997e-02
4.977747382468072246e+00 2.144999713393900415e-02
