wavelength_um transit_depth_model_unitless
5.439584958009947568e-01 2.128046525837166969e-02
5.642911115131238331e-01 2.128461498735565935e-02
5.870013853248688962e-01 2.142405901237835752e-02
6.125336538486810811e-01 2.127914973293979634e-02
6.414632903800252528e-01 2.127272780574026786e-02
6.744894291825173083e-01 2.127077189969243595e-02
7.125002536859746938e-01 2.127054103658919046e-02
7.565867704389196424e-01 2.129923663832628683e-02
8.080589516220738622e-01 2.127038667102554639e-02
8.683979561272089365e-01 2.126769731830070037e-02
9.390888561581521854e-01 2.126704072887861813e-02
1.021271966702864686e+00 2.126679118262957136e-02
1.115214937628433267e+00 2.126636241258907448e-02
1.219857922129905070e+00 2.126638519179343406e-02
1.332792235997658281e+00 2.126785186381239048e-02
1.450845292184156810e+00 2.126610562211359023e-02
1.570915581062646504e+00 2.127578373166012088e-02
1.690554234347835028e+00 2.126948778120064595e-02
1.808123132405085043e+00 2.126651197725271114e-02
1.922676892879574773e+00 2.128585524722553801e-02
2.033758224300399764e+00 2.128218405272915004e-02
2.141219707059230259e+00 2.127324299283333761e-02
2.236615816101174214e+00 2.126778755322586076e-02
2.320762858197661593e+00 2.127190912995492386e-02
2.402598987851862322e+00 2.155025232194641982e-02
2.482235071085236111e+00 2.142350047041824759e-02
2.559787358519741929e+00 2.138063980634903952e-02
2.635367836489433735e+00 2.139897698922249222e-02
2.709086890079174026e+00 2.143143517649810995e-02
2.781048130202715463e+00 2.141920736737476863e-02
2.851349759721366173e+00 2.132847771001961448e-02
2.920082815573841639e+00 2.128621425019372806e-02
2.987332517536573917e+00 2.127114395954440504e-02
3.053177443896525567e+00 2.126741496990845054e-02
3.117690925020495829e+00 2.126732399319511413e-02
3.180940774616039857e+00 2.126642899967971789e-02
3.242989937317803939e+00 2.126729310403146708e-02
3.303896834397137550e+00 2.126781007559878228e-02
3.363715371277618438e+00 2.126998625033311996e-02
3.422496112621693953e+00 2.127783615275815471e-02
3.480285633826453839e+00 2.130391503789734811e-02
3.537128066258332204e+00 2.133565605251711017e-02
3.593063403617509977e+00 2.132451912894702678e-02
3.648130107928447607e+00 2.130764788317629499e-02
3.702363465678729426e+00 2.137566895016860050e-02
3.755797137841150324e+00 2.132308017964172631e-02
3.808461836380983900e+00 2.133790344255971638e-02
3.860387224649882487e+00 2.129908225457811596e-02
3.911600080487440234e+00 2.129327061376542346e-02
3.962127205300935540e+00 2.129832755171790978e-02
4.011992704145277422e+00 2.130364705132329478e-02
4.061219658306713498e+00 2.129837399535803796e-02
4.109830016813260656e+00 2.130422439345828339e-02
4.157843163178149837e+00 2.131647058725517907e-02
4.205280109337573791e+00 2.145785867246543036e-02
4.252158072291102542e+00 2.155549962948260720e-02
4.298495508027899703e+00 2.179092604935720795e-02
4.344308416476979851e+00 2.170580291639262818e-02
4.389612736036864860e+00 2.182019363120183547e-02
4.434423467071558100e+00 2.179580374669444834e-02
4.478754942505024594e+00 2.170755129808871545e-02
4.522620850310969942e+00 2.154779932895049821e-02
4.566034007875804157e+00 2.163881238428140216e-02
4.609006842149123706e+00 2.149410529680376852e-02
4.651551483140882404e+00 2.131637618568983303e-02
4.693678774163734246e+00 2.145408147729271908e-02
4.735399926148511796e+00 2.150285854296321575e-02
4.776725261917027510e+00 2.157949645537274308e-02
4.817664614799937794e+00 2.182421951150657555e-02
4.858227506593395972e+00 2.143216444471797086e-02
4.898423151543096488e+00 2.132580599949487551e-02
4.938260286581308556e+00 2.158354368645194060e-02
4.977747382468072246e+00 2.146555423675301777e-02
