wavelength_um transit_depth_model_for_plot
5.090295518591889667e-01 2.054746389123569134e-02
5.256356214964841289e-01 2.054568341058228900e-02
5.439584958009947568e-01 2.054562004255553256e-02
5.642911115131238331e-01 2.054983675542445751e-02
5.870013853248688962e-01 2.067585884048872905e-02
6.125336538486810811e-01 2.054757961561136728e-02
6.414632903800252528e-01 2.053815590619641543e-02
6.744894291825173083e-01 2.053621601227783103e-02
7.125002536859746938e-01 2.053603185410717707e-02
7.565867704389196424e-01 2.053840801544380007e-02
8.080589516220738622e-01 2.053445495203959359e-02
8.683979561272089365e-01 2.055480126940977328e-02
9.390888561581521854e-01 2.054119146293360149e-02
1.021271966702864686e+00 2.059000778179302660e-02
1.115214937628433267e+00 2.073376928281008350e-02
1.219857922129905070e+00 2.067140994812187785e-02
1.332792235997658281e+00 2.129560209731831688e-02
1.450845292184156810e+00 2.099952258496024307e-02
1.570915581062646504e+00 2.059771217872487237e-02
1.690554234347835028e+00 2.188315612633727480e-02
1.808123132405085043e+00 2.163180449246193335e-02
1.922676892879574773e+00 2.079900542962664911e-02
2.033758224300399764e+00 2.070234980220351031e-02
2.141219707059230259e+00 2.149124861033701109e-02
2.236615816101174214e+00 2.301189073640810476e-02
2.320762858197661593e+00 2.373175431359902596e-02
2.402598987851862322e+00 2.363451140748595858e-02
2.482235071085236111e+00 2.289618044329116975e-02
2.559787358519741929e+00 2.242463104752866893e-02
2.635367836489433735e+00 2.188028555440334547e-02
2.709086890079174026e+00 2.231449508788879363e-02
2.781048130202715463e+00 2.074256529537180094e-02
2.851349759721366173e+00 2.075418713293952083e-02
2.920082815573841639e+00 2.104487186645276342e-02
2.987332517536573917e+00 2.145703199191921831e-02
3.053177443896525567e+00 2.461957732803088036e-02
3.117690925020495829e+00 2.401647739613735691e-02
3.180940774616039857e+00 2.510834835288513339e-02
3.242989937317803939e+00 2.551924349481083515e-02
3.303896834397137550e+00 2.504091192980232097e-02
3.363715371277618438e+00 2.587744514638909421e-02
3.422496112621693953e+00 2.509579699839335071e-02
3.480285633826453839e+00 2.460424752530200598e-02
3.537128066258332204e+00 2.591037206366691992e-02
3.593063403617509977e+00 2.424584498664231549e-02
3.648130107928447607e+00 2.468540922194350021e-02
3.702363465678729426e+00 2.350186966487043463e-02
3.755797137841150324e+00 2.331800751871491648e-02
3.808461836380983900e+00 2.293841586056312443e-02
3.860387224649882487e+00 2.332682497220135362e-02
3.911600080487440234e+00 2.272718583535192002e-02
3.962127205300935540e+00 2.209775430814329977e-02
4.011992704145277422e+00 2.214959684737342893e-02
4.061219658306713498e+00 2.252827968510628942e-02
4.109830016813260656e+00 2.172124000504178920e-02
4.157843163178149837e+00 2.199666091995278183e-02
4.205280109337573791e+00 2.154741396880308427e-02
4.252158072291102542e+00 2.134639040830140985e-02
4.298495508027899703e+00 2.117521331719992780e-02
4.344308416476979851e+00 2.241927279004316681e-02
4.389612736036864860e+00 2.146949602880065047e-02
4.434423467071558100e+00 2.181109221603598838e-02
4.478754942505024594e+00 2.115625019120465078e-02
4.522620850310969942e+00 2.089993705513201391e-02
4.566034007875804157e+00 2.090176768022700138e-02
4.609006842149123706e+00 2.154638976647316531e-02
4.651551483140882404e+00 2.102709019748368047e-02
4.693678774163734246e+00 2.140149966466921641e-02
4.735399926148511796e+00 2.089707994399804536e-02
4.776725261917027510e+00 2.086262443162585981e-02
4.817664614799937794e+00 2.087871855054116224e-02
4.858227506593395972e+00 2.123995250137628021e-02
4.898423151543096488e+00 2.107542936562053354e-02
4.938260286581308556e+00 2.104248706505756905e-02
4.977747382468072246e+00 2.115483110033477762e-02
