wavelength_um transit_depth_model_unitless
5.439584958009947568e-01 2.130880811540131897e-02
5.642911115131238331e-01 2.131356283532878301e-02
5.870013853248688962e-01 2.147270318036557241e-02
6.125336538486810811e-01 2.130689921010821622e-02
6.414632903800252528e-01 2.129923284521937493e-02
6.744894291825173083e-01 2.129685186535545949e-02
7.125002536859746938e-01 2.129671485520040833e-02
7.565867704389196424e-01 2.132984293915306251e-02
8.080589516220738622e-01 2.129675895722399695e-02
8.683979561272089365e-01 2.129317315711211356e-02
9.390888561581521854e-01 2.129396365034809391e-02
1.021271966702864686e+00 2.129222183090848444e-02
1.115214937628433267e+00 2.129837274079732223e-02
1.219857922129905070e+00 2.129527648167733531e-02
1.332792235997658281e+00 2.130904651669991018e-02
1.450845292184156810e+00 2.135243029552367014e-02
1.570915581062646504e+00 2.130583240526970346e-02
1.690554234347835028e+00 2.129708830685891896e-02
1.808123132405085043e+00 2.133379741751968359e-02
1.922676892879574773e+00 2.138233424835439891e-02
2.033758224300399764e+00 2.133534039357386919e-02
2.141219707059230259e+00 2.130451202867116381e-02
2.236615816101174214e+00 2.129852202701540756e-02
2.320762858197661593e+00 2.129452085852415189e-02
2.402598987851862322e+00 2.133503578777758494e-02
2.482235071085236111e+00 2.154415281768594717e-02
2.559787358519741929e+00 2.162443081898694081e-02
2.635367836489433735e+00 2.155445880705026199e-02
2.709086890079174026e+00 2.157023815642804959e-02
2.781048130202715463e+00 2.176854649948086959e-02
2.851349759721366173e+00 2.174312592794703375e-02
2.920082815573841639e+00 2.163703377984191323e-02
2.987332517536573917e+00 2.142706233429709714e-02
3.053177443896525567e+00 2.139376952266655932e-02
3.117690925020495829e+00 2.137577190821335349e-02
3.180940774616039857e+00 2.134153393389908934e-02
3.242989937317803939e+00 2.131977133294696639e-02
3.303896834397137550e+00 2.130756793014971714e-02
3.363715371277618438e+00 2.131672319057751133e-02
3.422496112621693953e+00 2.132942698796791436e-02
3.480285633826453839e+00 2.135942323989787478e-02
3.537128066258332204e+00 2.137892774033326934e-02
3.593063403617509977e+00 2.136495708202983818e-02
3.648130107928447607e+00 2.134650215541938206e-02
3.702363465678729426e+00 2.142064271291336044e-02
3.755797137841150324e+00 2.135939483252985091e-02
3.808461836380983900e+00 2.137663196478400279e-02
3.860387224649882487e+00 2.133073238360022258e-02
3.911600080487440234e+00 2.132366501025108677e-02
3.962127205300935540e+00 2.133005627176892682e-02
4.011992704145277422e+00 2.133825697371571212e-02
4.061219658306713498e+00 2.133652130543289144e-02
4.109830016813260656e+00 2.134867357146934611e-02
4.157843163178149837e+00 2.136087861237364119e-02
4.205280109337573791e+00 2.145830188420248114e-02
4.252158072291102542e+00 2.150484646780013651e-02
4.298495508027899703e+00 2.163194410200309711e-02
4.344308416476979851e+00 2.155043071781821695e-02
4.389612736036864860e+00 2.165594421630001598e-02
4.434423467071558100e+00 2.154748885767859140e-02
4.478754942505024594e+00 2.150092114658537848e-02
4.522620850310969942e+00 2.141615930138732193e-02
4.566034007875804157e+00 2.144502286875317118e-02
4.609006842149123706e+00 2.137839963193070500e-02
4.651551483140882404e+00 2.134772449701102803e-02
4.693678774163734246e+00 2.133236453347754982e-02
4.735399926148511796e+00 2.137209746160687387e-02
4.776725261917027510e+00 2.136726968192663792e-02
4.817664614799937794e+00 2.143921658351361295e-02
4.858227506593395972e+00 2.134184079163841535e-02
4.898423151543096488e+00 2.130562227734409189e-02
4.938260286581308556e+00 2.147644181729383220e-02
4.977747382468072246e+00 2.134581681021392383e-02
