wavelength_um transit_depth_model_for_plot
5.090295518591889667e-01 2.085413605449379024e-02
5.256356214964841289e-01 2.085265381304937313e-02
5.439584958009947568e-01 2.085257370899348470e-02
5.642911115131238331e-01 2.085600344026403499e-02
5.870013853248688962e-01 2.095975416057933513e-02
6.125336538486810811e-01 2.085406151194922966e-02
6.414632903800252528e-01 2.084634638780467550e-02
6.744894291825173083e-01 2.084473011079210694e-02
7.125002536859746938e-01 2.084455215636448269e-02
7.565867704389196424e-01 2.084648189391254819e-02
8.080589516220738622e-01 2.084322787221656523e-02
8.683979561272089365e-01 2.084952929671269814e-02
9.390888561581521854e-01 2.084399702860987788e-02
1.021271966702864686e+00 2.085987064087428330e-02
1.115214937628433267e+00 2.090934438043521096e-02
1.219857922129905070e+00 2.088735765809772785e-02
1.332792235997658281e+00 2.114354814272517008e-02
1.450845292184156810e+00 2.100990743825951329e-02
1.570915581062646504e+00 2.086314807138162780e-02
1.690554234347835028e+00 2.146960018560948105e-02
1.808123132405085043e+00 2.132463049050286122e-02
1.922676892879574773e+00 2.095804655483792661e-02
2.033758224300399764e+00 2.090587075937630490e-02
2.141219707059230259e+00 2.123966536940275970e-02
2.236615816101174214e+00 2.233468784375696251e-02
2.320762858197661593e+00 2.293117583907973434e-02
2.402598987851862322e+00 2.285102095927543653e-02
2.482235071085236111e+00 2.224322254338661348e-02
2.559787358519741929e+00 2.189663817430449397e-02
2.635367836489433735e+00 2.146726223115088400e-02
2.709086890079174026e+00 2.224826746733548841e-02
2.781048130202715463e+00 2.093032690076209248e-02
2.851349759721366173e+00 2.092272940953888646e-02
2.920082815573841639e+00 2.103372776135455785e-02
2.987332517536573917e+00 2.121941510328307495e-02
3.053177443896525567e+00 2.366125323668469976e-02
3.117690925020495829e+00 2.316720401630687279e-02
3.180940774616039857e+00 2.406653918409980275e-02
3.242989937317803939e+00 2.440329299837713101e-02
3.303896834397137550e+00 2.401114147570400717e-02
3.363715371277618438e+00 2.469682862419262520e-02
3.422496112621693953e+00 2.405614757349314875e-02
3.480285633826453839e+00 2.365200120443982160e-02
3.537128066258332204e+00 2.472389865139012002e-02
3.593063403617509977e+00 2.335655584233639268e-02
3.648130107928447607e+00 2.371897449450889248e-02
3.702363465678729426e+00 2.274599909274976559e-02
3.755797137841150324e+00 2.260188967438852420e-02
3.808461836380983900e+00 2.228047737158640740e-02
3.860387224649882487e+00 2.259699361499590414e-02
3.911600080487440234e+00 2.210215651211217686e-02
3.962127205300935540e+00 2.161346737977686006e-02
4.011992704145277422e+00 2.169560132527693572e-02
4.061219658306713498e+00 2.197821523779233677e-02
4.109830016813260656e+00 2.137450012246492476e-02
4.157843163178149837e+00 2.154269259403049017e-02
4.205280109337573791e+00 2.128094940259486062e-02
4.252158072291102542e+00 2.117266589631835658e-02
4.298495508027899703e+00 2.108526159073659603e-02
4.344308416476979851e+00 2.185200505632741916e-02
4.389612736036864860e+00 2.128116384666081662e-02
4.434423467071558100e+00 2.144668893193167267e-02
4.478754942505024594e+00 2.115694963023148287e-02
4.522620850310969942e+00 2.097241707002064567e-02
4.566034007875804157e+00 2.097145560185872948e-02
4.609006842149123706e+00 2.126671820259240162e-02
4.651551483140882404e+00 2.102253416031647434e-02
4.693678774163734246e+00 2.119515689730277694e-02
4.735399926148511796e+00 2.097239676986902696e-02
4.776725261917027510e+00 2.096653639273014791e-02
4.817664614799937794e+00 2.096283038514884511e-02
4.858227506593395972e+00 2.112320896602532319e-02
4.898423151543096488e+00 2.104153142670130150e-02
4.938260286581308556e+00 2.104023346945471662e-02
4.977747382468072246e+00 2.108842162813571314e-02
