wavelength_um transit_depth_model_unitless
5.439584958009947568e-01 2.103316683947644219e-02
5.642911115131238331e-01 2.103735673917280294e-02
5.870013853248688962e-01 2.117730262356423698e-02
6.125336538486810811e-01 2.103215044360997113e-02
6.414632903800252528e-01 2.102567513591866236e-02
6.744894291825173083e-01 2.102387721200805679e-02
7.125002536859746938e-01 2.102881872421097018e-02
7.565867704389196424e-01 2.105408435345267060e-02
8.080589516220738622e-01 2.103616535009125710e-02
8.683979561272089365e-01 2.102558630330817607e-02
9.390888561581521854e-01 2.106262953644850305e-02
1.021271966702864686e+00 2.102953103111609642e-02
1.115214937628433267e+00 2.111410357649474642e-02
1.219857922129905070e+00 2.108644566905450157e-02
1.332792235997658281e+00 2.121249836260153884e-02
1.450845292184156810e+00 2.162388452029985475e-02
1.570915581062646504e+00 2.115656855639734199e-02
1.690554234347835028e+00 2.105979475577720098e-02
1.808123132405085043e+00 2.137441275726025686e-02
1.922676892879574773e+00 2.150348264450185204e-02
2.033758224300399764e+00 2.134849322450307202e-02
2.141219707059230259e+00 2.112866191647132588e-02
2.236615816101174214e+00 2.110216132087251728e-02
2.320762858197661593e+00 2.106517910145333863e-02
2.402598987851862322e+00 2.149605784666585098e-02
2.482235071085236111e+00 2.180026211330584815e-02
2.559787358519741929e+00 2.188779408431139675e-02
2.635367836489433735e+00 2.192126915127845174e-02
2.709086890079174026e+00 2.183496898183627868e-02
2.781048130202715463e+00 2.222274385684103529e-02
2.851349759721366173e+00 2.241988503141394140e-02
2.920082815573841639e+00 2.214278712428621385e-02
2.987332517536573917e+00 2.178605046873803228e-02
3.053177443896525567e+00 2.168847780291060026e-02
3.117690925020495829e+00 2.153212123797178246e-02
3.180940774616039857e+00 2.147843726286016025e-02
3.242989937317803939e+00 2.137101391031299980e-02
3.303896834397137550e+00 2.124033519841131076e-02
3.363715371277618438e+00 2.130523674369096815e-02
3.422496112621693953e+00 2.130410225496360069e-02
3.480285633826453839e+00 2.133638023449072746e-02
3.537128066258332204e+00 2.122646360022864553e-02
3.593063403617509977e+00 2.120141574091292599e-02
3.648130107928447607e+00 2.120169242307922905e-02
3.702363465678729426e+00 2.118897964576743967e-02
3.755797137841150324e+00 2.111966691416142586e-02
3.808461836380983900e+00 2.112906425754311132e-02
3.860387224649882487e+00 2.108110649292792640e-02
3.911600080487440234e+00 2.106761746723252379e-02
3.962127205300935540e+00 2.108116970378682425e-02
4.011992704145277422e+00 2.112894289279194232e-02
4.061219658306713498e+00 2.117020812995200341e-02
4.109830016813260656e+00 2.123668845744388495e-02
4.157843163178149837e+00 2.131391868374385781e-02
4.205280109337573791e+00 2.138681678928385649e-02
4.252158072291102542e+00 2.153563837595292782e-02
4.298495508027899703e+00 2.175892693099384240e-02
4.344308416476979851e+00 2.167712595236700318e-02
4.389612736036864860e+00 2.172042230412108907e-02
4.434423467071558100e+00 2.183720169496786503e-02
4.478754942505024594e+00 2.178241264141721895e-02
4.522620850310969942e+00 2.156481943109573099e-02
4.566034007875804157e+00 2.166170818929621933e-02
4.609006842149123706e+00 2.146715793449048212e-02
4.651551483140882404e+00 2.139227790678415592e-02
4.693678774163734246e+00 2.158741191737913179e-02
4.735399926148511796e+00 2.167774413061033384e-02
4.776725261917027510e+00 2.171875089243109624e-02
4.817664614799937794e+00 2.208723249111069209e-02
4.858227506593395972e+00 2.146542870162797961e-02
4.898423151543096488e+00 2.129006151127390764e-02
4.938260286581308556e+00 2.182258046310345256e-02
4.977747382468072246e+00 2.157838580871791756e-02
