wavelength_um transit_depth_model_unitless
5.439584958009947568e-01 2.062127808003930141e-02
5.642911115131238331e-01 2.064649772648363690e-02
5.870013853248688962e-01 2.093678484088916034e-02
6.125336538486810811e-01 2.063624021022997593e-02
6.414632903800252528e-01 2.061054088040278898e-02
6.744894291825173083e-01 2.060557120425466140e-02
7.125002536859746938e-01 2.063214518968363442e-02
7.565867704389196424e-01 2.069076193726697432e-02
8.080589516220738622e-01 2.065618616558280787e-02
8.683979561272089365e-01 2.062488707529186449e-02
9.390888561581521854e-01 2.077143145080787706e-02
1.021271966702864686e+00 2.064820014986598964e-02
1.115214937628433267e+00 2.088904568197971420e-02
1.219857922129905070e+00 2.079558025147032821e-02
1.332792235997658281e+00 2.103604535508383361e-02
1.450845292184156810e+00 2.176838540641507988e-02
1.570915581062646504e+00 2.100432796900239193e-02
1.690554234347835028e+00 2.073147854665178397e-02
1.808123132405085043e+00 2.132707312006655934e-02
1.922676892879574773e+00 2.159368446596172247e-02
2.033758224300399764e+00 2.139557563757256420e-02
2.141219707059230259e+00 2.093816632483380680e-02
2.236615816101174214e+00 2.084483635384502820e-02
2.320762858197661593e+00 2.075653340891935386e-02
2.402598987851862322e+00 2.150229794900663030e-02
2.482235071085236111e+00 2.190652302769728957e-02
2.559787358519741929e+00 2.213209559485936409e-02
2.635367836489433735e+00 2.229066507165256353e-02
2.709086890079174026e+00 2.235169575462189404e-02
2.781048130202715463e+00 2.272645895436653518e-02
2.851349759721366173e+00 2.285179268857669491e-02
2.920082815573841639e+00 2.244786153014270355e-02
2.987332517536573917e+00 2.207367540138994305e-02
3.053177443896525567e+00 2.191571905639262685e-02
3.117690925020495829e+00 2.159491416800448163e-02
3.180940774616039857e+00 2.159767753018804193e-02
3.242989937317803939e+00 2.143405618142527058e-02
3.303896834397137550e+00 2.120086307094913233e-02
3.363715371277618438e+00 2.132055794650685246e-02
3.422496112621693953e+00 2.124475212147930794e-02
3.480285633826453839e+00 2.131459581487250149e-02
3.537128066258332204e+00 2.121528076281627151e-02
3.593063403617509977e+00 2.115690902148248398e-02
3.648130107928447607e+00 2.114785582534842862e-02
3.702363465678729426e+00 2.108157021258281680e-02
3.755797137841150324e+00 2.097422318251603024e-02
3.808461836380983900e+00 2.101356070725165365e-02
3.860387224649882487e+00 2.086604882506786982e-02
3.911600080487440234e+00 2.081648860127590511e-02
3.962127205300935540e+00 2.086011602863582781e-02
4.011992704145277422e+00 2.098409898904122703e-02
4.061219658306713498e+00 2.102173797086091811e-02
4.109830016813260656e+00 2.112953304541845961e-02
4.157843163178149837e+00 2.127037895527556996e-02
4.205280109337573791e+00 2.161848608034462604e-02
4.252158072291102542e+00 2.213962429322075334e-02
4.298495508027899703e+00 2.284163854551794770e-02
4.344308416476979851e+00 2.292222278798639740e-02
4.389612736036864860e+00 2.288822185595138642e-02
4.434423467071558100e+00 2.293644305602678818e-02
4.478754942505024594e+00 2.267750298693817224e-02
4.522620850310969942e+00 2.243603398198965732e-02
4.566034007875804157e+00 2.226585548081544755e-02
4.609006842149123706e+00 2.181076825380027021e-02
4.651551483140882404e+00 2.153174457026500038e-02
4.693678774163734246e+00 2.169701939098661950e-02
4.735399926148511796e+00 2.180430342610914507e-02
4.776725261917027510e+00 2.177475442583749060e-02
4.817664614799937794e+00 2.222604760967059404e-02
4.858227506593395972e+00 2.143939890590303154e-02
4.898423151543096488e+00 2.127829968789959891e-02
4.938260286581308556e+00 2.182855349799752223e-02
4.977747382468072246e+00 2.158304536135006654e-02
