wavelength_um transit_depth_model_unitless
5.439584958009947568e-01 2.064055850582141582e-02
5.642911115131238331e-01 2.066466734068252847e-02
5.870013853248688962e-01 2.090650657841348209e-02
6.125336538486810811e-01 2.066042529559933977e-02
6.414632903800252528e-01 2.063689377661518526e-02
6.744894291825173083e-01 2.063464703124268454e-02
7.125002536859746938e-01 2.071158616087363097e-02
7.565867704389196424e-01 2.073425738083546285e-02
8.080589516220738622e-01 2.073394588865382429e-02
8.683979561272089365e-01 2.069640917460343482e-02
9.390888561581521854e-01 2.095164053953479238e-02
1.021271966702864686e+00 2.075867252111624622e-02
1.115214937628433267e+00 2.106608301502017888e-02
1.219857922129905070e+00 2.098646771984232981e-02
1.332792235997658281e+00 2.117623907177000955e-02
1.450845292184156810e+00 2.181971964207516518e-02
1.570915581062646504e+00 2.121187468770824661e-02
1.690554234347835028e+00 2.089175896872190116e-02
1.808123132405085043e+00 2.143281085549886972e-02
1.922676892879574773e+00 2.168293721110099714e-02
2.033758224300399764e+00 2.154976120220097185e-02
2.141219707059230259e+00 2.114966102969542336e-02
2.236615816101174214e+00 2.102118342412748545e-02
2.320762858197661593e+00 2.087485490425592879e-02
2.402598987851862322e+00 2.135854407645484260e-02
2.482235071085236111e+00 2.176607325237137763e-02
2.559787358519741929e+00 2.205935013628888136e-02
2.635367836489433735e+00 2.217532487132648986e-02
2.709086890079174026e+00 2.206373045495207269e-02
2.781048130202715463e+00 2.227674215719449916e-02
2.851349759721366173e+00 2.241560116808435574e-02
2.920082815573841639e+00 2.224870800231453991e-02
2.987332517536573917e+00 2.204604763709796383e-02
3.053177443896525567e+00 2.193643170465404968e-02
3.117690925020495829e+00 2.168623834577857942e-02
3.180940774616039857e+00 2.168864725198315149e-02
3.242989937317803939e+00 2.157915214896035869e-02
3.303896834397137550e+00 2.141307253729109877e-02
3.363715371277618438e+00 2.148732154022682181e-02
3.422496112621693953e+00 2.138104050136668127e-02
3.480285633826453839e+00 2.144189832309325791e-02
3.537128066258332204e+00 2.140311014840884374e-02
3.593063403617509977e+00 2.137858911430157507e-02
3.648130107928447607e+00 2.134166727674371294e-02
3.702363465678729426e+00 2.129951259677918818e-02
3.755797137841150324e+00 2.120746032534624737e-02
3.808461836380983900e+00 2.125813242607637113e-02
3.860387224649882487e+00 2.110421612602098387e-02
3.911600080487440234e+00 2.104402886336384157e-02
3.962127205300935540e+00 2.110575452047237441e-02
4.011992704145277422e+00 2.121395616543040805e-02
4.061219658306713498e+00 2.121333651254995664e-02
4.109830016813260656e+00 2.130516001465341744e-02
4.157843163178149837e+00 2.135627628750360815e-02
4.205280109337573791e+00 2.139168085132290772e-02
4.252158072291102542e+00 2.140203937869904205e-02
4.298495508027899703e+00 2.128472653268834516e-02
4.344308416476979851e+00 2.138197958607270313e-02
4.389612736036864860e+00 2.127461398389239589e-02
4.434423467071558100e+00 2.141630231584220473e-02
4.478754942505024594e+00 2.147006948390296419e-02
4.522620850310969942e+00 2.136018572835217399e-02
4.566034007875804157e+00 2.138419546834501028e-02
4.609006842149123706e+00 2.131901870683082512e-02
4.651551483140882404e+00 2.144212603401946665e-02
4.693678774163734246e+00 2.150631374223064413e-02
4.735399926148511796e+00 2.153938043394913043e-02
4.776725261917027510e+00 2.140379103993361384e-02
4.817664614799937794e+00 2.163244015363482292e-02
4.858227506593395972e+00 2.125468437306167815e-02
4.898423151543096488e+00 2.132564725103185121e-02
4.938260286581308556e+00 2.150736913746667880e-02
4.977747382468072246e+00 2.145799419281209722e-02
