# wl_center_um depth depth_err_lo depth_err_hi
5.749999999999999556e-01 2.229053692203394887e-02 1.285933546802883742e-05 1.252911252970501099e-05
7.250000000000000888e-01 2.162292997071514622e-02 7.844709874443855924e-06 7.668570294046966884e-06
8.750000000000000000e-01 2.157319949592932662e-02 7.854158647617459632e-06 7.723312481534849727e-06
1.024999999999999911e+00 2.145018908331112334e-02 7.486057861556816295e-06 7.443760078516825640e-06
1.175000000000000044e+00 2.093652904958077238e-02 2.074883511261199631e-05 2.134544845730848572e-05
1.324999999999999956e+00 2.115774151371816250e-02 8.180878982359113261e-06 8.206833916370170900e-06
1.475000000000000089e+00 2.192648565615036918e-02 9.064364306993893949e-06 9.132841354345805351e-06
1.625000000000000000e+00 2.115849423647422206e-02 1.106349379113164000e-05 1.112732560964654893e-05
1.774999999999999911e+00 2.138161667500740326e-02 1.162750645103058367e-05 1.186210955748251417e-05
1.924999999999999822e+00 2.159128000247584681e-02 1.343958967395253445e-05 1.347149897614960401e-05
2.075000000000000178e+00 2.123251729644236308e-02 1.472219573515898272e-05 1.463792336669003658e-05
2.224999999999999645e+00 2.106887457436877609e-02 1.525233415476667798e-05 1.558888249722847896e-05
2.375000000000000000e+00 2.137926966049704530e-02 1.659180921205830050e-05 1.663587298015439808e-05
2.525000000000000355e+00 2.177140267601708479e-02 1.787926021258601228e-05 1.764077189267410084e-05
2.674999999999999822e+00 2.211336890023774676e-02 1.967438547411867744e-05 1.939222594428066659e-05
2.825000000000000178e+00 2.221810378585059587e-02 2.055456507306027691e-05 2.033180749163449041e-05
2.974999999999999645e+00 2.205545182438583759e-02 2.311439427490208365e-05 2.280723698482034489e-05
3.125000000000000000e+00 2.186822546728167324e-02 2.393835404827099334e-05 2.377370795154237770e-05
3.274999999999999911e+00 2.152550658185426596e-02 2.528935005246743528e-05 2.527740336345438155e-05
3.424999999999999822e+00 2.140209993075613965e-02 2.659464054715829362e-05 2.635122818258478494e-05
3.575000000000000178e+00 2.129426659155941870e-02 2.759244726883297583e-05 2.758497983034943757e-05
3.724999999999999645e+00 2.111141923507395268e-02 3.040052466217815774e-05 3.078722662551436340e-05
3.875000000000000000e+00 2.112291787736432502e-02 3.402616402839800380e-05 3.357670429473061380e-05
4.024999999999999467e+00 2.134710583164720760e-02 3.573309731061402594e-05 3.589617736865849396e-05
4.174999999999999822e+00 2.141750756513030943e-02 3.728035720956118793e-05 3.643170426820968588e-05
4.325000000000000178e+00 2.248417839976911067e-02 3.985499436961678632e-05 3.951266182179377640e-05
4.474999999999999645e+00 2.199976543367963139e-02 4.507407681472383465e-05 4.380527985874821395e-05
4.625000000000000000e+00 2.163794253816845106e-02 4.836838821160524549e-05 4.769875840241258325e-05
4.775000000000000355e+00 2.146771866723810179e-02 4.971036786633603599e-05 5.094281878870871028e-05
4.924999999999999822e+00 2.130511875791579746e-02 5.309798155865227964e-05 5.343025884306518147e-05
