# wl_center_um depth depth_err_lo depth_err_hi
5.749999999999999556e-01 2.185412525148742319e-02 1.262459267318410960e-05 1.246832499293346053e-05
7.250000000000000888e-01 2.119853507007171678e-02 7.653336728086213014e-06 7.704174698194149462e-06
8.750000000000000000e-01 2.114865345197218527e-02 7.691933183166799193e-06 7.617412331902689848e-06
1.024999999999999911e+00 2.102747142823828061e-02 7.363913030741103816e-06 7.321570932406623600e-06
1.175000000000000044e+00 2.052553997687916673e-02 2.088356369860100425e-05 2.086845280753479859e-05
1.324999999999999956e+00 2.073877307909600606e-02 7.804120093594935081e-06 7.921310094204797592e-06
1.475000000000000089e+00 2.149082468348272740e-02 8.993043928054444969e-06 8.936920155935140775e-06
1.625000000000000000e+00 2.073987502902832625e-02 1.084761982611537334e-05 1.074156611063220579e-05
1.774999999999999911e+00 2.095640087547588626e-02 1.143153602511243205e-05 1.155744208436795817e-05
1.924999999999999822e+00 2.116205112511770556e-02 1.344036001442797112e-05 1.319346534716520081e-05
2.075000000000000178e+00 2.081067292524695772e-02 1.435638105163478118e-05 1.427837019424282872e-05
2.224999999999999645e+00 2.065028745134993987e-02 1.508788749156331210e-05 1.518653794107746591e-05
2.375000000000000000e+00 2.095381159790688300e-02 1.604050737315926289e-05 1.623857210268989104e-05
2.525000000000000355e+00 2.133843129872431063e-02 1.782838713814197118e-05 1.740876840153338101e-05
2.674999999999999822e+00 2.167253212095124684e-02 1.911195118480674138e-05 1.921946654857148440e-05
2.825000000000000178e+00 2.177364697413584904e-02 2.024104632432008333e-05 2.035553336328030372e-05
2.974999999999999645e+00 2.161451023474500466e-02 2.253350506267737252e-05 2.254505310423163267e-05
3.125000000000000000e+00 2.143107006610555504e-02 2.346289091668604665e-05 2.348931222912603589e-05
3.274999999999999911e+00 2.109584682414790066e-02 2.509831181657026788e-05 2.484819252818876167e-05
3.424999999999999822e+00 2.097489225199563462e-02 2.665369470690806541e-05 2.617221976677214235e-05
3.575000000000000178e+00 2.087013295436137422e-02 2.710714462935553959e-05 2.729768556751846487e-05
3.724999999999999645e+00 2.069165863218731805e-02 3.006225037693877056e-05 2.993347190732159602e-05
3.875000000000000000e+00 2.069988079017118926e-02 3.246808018696201170e-05 3.356448803192718655e-05
4.024999999999999467e+00 2.092293142903878245e-02 3.561216401249886476e-05 3.513983084670393997e-05
4.174999999999999822e+00 2.099037746831520362e-02 3.624270839642021458e-05 3.675595556816915743e-05
4.325000000000000178e+00 2.203359827028417151e-02 3.951957452648716118e-05 3.907060053118249776e-05
4.474999999999999645e+00 2.156068868777656286e-02 4.352395953998930422e-05 4.285690793742399918e-05
4.625000000000000000e+00 2.120824434037023309e-02 4.721382340585125736e-05 4.726667747825472055e-05
4.775000000000000355e+00 2.104181821803462887e-02 4.898005861893317547e-05 4.851933705980748801e-05
4.924999999999999822e+00 2.088212517233548754e-02 5.293074426623509132e-05 5.165102036222210535e-05
