# wl_center_um depth depth_err_lo depth_err_hi
5.749999999999999556e-01 2.181686676029517824e-02 1.248675926390774293e-05 1.222398388600609564e-05
7.250000000000000888e-01 2.116324472057618672e-02 7.520940616189547567e-06 7.482101323796203074e-06
8.750000000000000000e-01 2.111394470611542909e-02 7.755579481773244854e-06 7.618722463832716674e-06
1.024999999999999911e+00 2.099346291578218365e-02 7.234912646245095225e-06 7.525401064297637665e-06
1.175000000000000044e+00 2.049167564562814903e-02 2.032113191526019325e-05 2.066067371031890532e-05
1.324999999999999956e+00 2.070575032318338476e-02 7.849110401778741641e-06 7.891997200835249027e-06
1.475000000000000089e+00 2.145677037922257002e-02 9.027633060560563694e-06 9.094318824145325442e-06
1.625000000000000000e+00 2.070716975928768924e-02 1.080596981942530399e-05 1.085084954360188148e-05
1.774999999999999911e+00 2.092384859495809504e-02 1.146061627165656516e-05 1.138801358881169623e-05
1.924999999999999822e+00 2.112934491813839646e-02 1.314985992637018875e-05 1.298882181022253945e-05
2.075000000000000178e+00 2.077839291564816809e-02 1.423271254558794441e-05 1.430908404385922150e-05
2.224999999999999645e+00 2.061814953175749449e-02 1.500873526461693475e-05 1.508556751667750051e-05
2.375000000000000000e+00 2.092130138094126096e-02 1.645217459624384593e-05 1.630985699136930367e-05
2.525000000000000355e+00 2.130508604687106344e-02 1.742783169397105203e-05 1.721172578580260071e-05
2.674999999999999822e+00 2.163889619191145322e-02 1.882099958537900020e-05 1.891096848564977062e-05
2.825000000000000178e+00 2.174010249717816048e-02 2.020663917507575791e-05 1.991585062316447718e-05
2.974999999999999645e+00 2.158131520169199319e-02 2.291023202901851241e-05 2.233037077684768557e-05
3.125000000000000000e+00 2.139824571330395039e-02 2.326404227159101223e-05 2.356209909714149231e-05
3.274999999999999911e+00 2.106402337955698423e-02 2.512769415869212097e-05 2.460444297607347619e-05
3.424999999999999822e+00 2.094234908732722777e-02 2.631210701506056515e-05 2.596319773630340055e-05
3.575000000000000178e+00 2.083751321479306029e-02 2.718392627062277134e-05 2.776206735957340022e-05
3.724999999999999645e+00 2.066035007758455430e-02 2.999216185414765867e-05 2.991907161499149370e-05
3.875000000000000000e+00 2.066815397341133578e-02 3.293315494687712452e-05 3.229006759184957498e-05
4.024999999999999467e+00 2.089046141843835594e-02 3.484425430373347399e-05 3.501438178541912971e-05
4.174999999999999822e+00 2.095780501960271824e-02 3.564055579538885632e-05 3.582599693581836608e-05
4.325000000000000178e+00 2.200004670854516925e-02 3.923178321815767866e-05 3.918504977942077749e-05
4.474999999999999645e+00 2.152718437915340094e-02 4.385412862195972594e-05 4.255532449085747126e-05
4.625000000000000000e+00 2.117543208597249399e-02 4.676383979881210129e-05 4.698166136303874585e-05
4.775000000000000355e+00 2.100901337896137269e-02 4.939250961508850901e-05 4.845603652347055257e-05
4.924999999999999822e+00 2.084913478244095758e-02 5.215383089106351289e-05 5.198136369117048461e-05
