# wl_center_um depth depth_err_lo depth_err_hi
5.300000000000000266e-01 2.071691025931771818e-02 4.872600850729588706e-04 3.812445895077301583e-04
5.900000000000000799e-01 2.118580502410619126e-02 2.789710524041151551e-04 2.105307839156377037e-04
6.499999999999999112e-01 2.119031160492577948e-02 1.242250145876352962e-04 1.355415417760401364e-04
7.099999999999999645e-01 2.114274915710954300e-02 9.958363137862677461e-05 1.442408535117893631e-04
7.700000000000000178e-01 2.105212432170976145e-02 9.290025789856701244e-05 1.305771675029487877e-04
8.300000000000000711e-01 2.084069365952519876e-02 9.812918061569489425e-05 9.752611493425364375e-05
8.899999999999999023e-01 2.069007177834737699e-02 9.780208794115535786e-05 8.182401393967697611e-05
9.499999999999999556e-01 2.132277282894802506e-02 1.004753643933722906e-04 9.985234412051083308e-05
1.010000000000000009e+00 2.118637729672298575e-02 8.732997348320087339e-05 8.480643311194885348e-05
1.070000000000000062e+00 2.085901235103395507e-02 6.095491401038669044e-05 6.957412088109612980e-05
1.129999999999999893e+00 2.078387994762312049e-02 1.108927576542531601e-04 1.038359191720336638e-04
1.250000000000000000e+00 2.026250491392968256e-02 1.275001435101612290e-04 1.383843170173204573e-04
1.310000000000000053e+00 2.034632601574368899e-02 7.193111752757525013e-05 9.564142405946510217e-05
1.369999999999999885e+00 2.136372656907723280e-02 8.205309169260349700e-05 9.390089291480899214e-05
1.429999999999999938e+00 2.154548780451871065e-02 1.250536009187938613e-04 1.171314973322998276e-04
1.489999999999999991e+00 2.156135862777006779e-02 8.420404871112632805e-05 9.269679999187110941e-05
1.550000000000000044e+00 2.129293406542932116e-02 8.257501843434919553e-05 8.802474349577787960e-05
1.609999999999999876e+00 2.130313416451738023e-02 9.440602331258970970e-05 8.664508774658061241e-05
1.669999999999999929e+00 2.090781715017000011e-02 8.580481100916442783e-05 9.686677772723431556e-05
1.729999999999999982e+00 2.130592535014761910e-02 9.756574966856418341e-05 8.208298523616416875e-05
1.790000000000000036e+00 2.115522723767934016e-02 1.247580182551534522e-04 9.891309891913238617e-05
1.849999999999999867e+00 2.138361840510652478e-02 1.026693371658088383e-04 1.287191726841996342e-04
1.909999999999999920e+00 2.154059166564328831e-02 1.478174396431740367e-04 1.169008471774875269e-04
1.969999999999999973e+00 2.126643789283364297e-02 1.189707667976075411e-04 1.299739668865589060e-04
2.030000000000000249e+00 2.113731019338708356e-02 1.754270744333576160e-04 1.176955087920650289e-04
2.089999999999999858e+00 2.108907885286592787e-02 1.153763193033723045e-04 1.626917998191722281e-04
2.149999999999999911e+00 2.101929624867370991e-02 1.415928024404121410e-04 1.218072495278443856e-04
2.209999999999999964e+00 2.098737492666625723e-02 1.372698580068797136e-04 1.195484296528451229e-04
2.270000000000000018e+00 2.127469748797439220e-02 1.315989774395218137e-04 1.317280789185325263e-04
2.330000000000000071e+00 2.128646385229130550e-02 1.258015657968625245e-04 1.217662351653478470e-04
2.389999999999999680e+00 2.119658123500717944e-02 1.365761964451268906e-04 1.532804851231313326e-04
2.450000000000000178e+00 2.149173691384880999e-02 1.889744378096545885e-04 2.062707810265261565e-04
2.509999999999999787e+00 2.152709722014137239e-02 2.203175475839237729e-04 1.385839305822131329e-04
2.570000000000000284e+00 2.186873732411366220e-02 1.631252682397221765e-04 1.629456963098130373e-04
2.629999999999999893e+00 2.195172124952130682e-02 2.455474719702081809e-04 1.467796600397898443e-04
2.689999999999999947e+00 2.196086780036615727e-02 1.422676619608244375e-04 1.862563403935181550e-04
2.750000000000000000e+00 2.162955002401876353e-02 1.779943260231987845e-04 1.567246718755972712e-04
2.809999999999999609e+00 2.199345258322027430e-02 1.704826206550894008e-04 4.617562201590791338e-04
2.870000000000000107e+00 2.197338075180717276e-02 1.524129239899415372e-03 3.022990899621096073e-04
2.929999999999999716e+00 2.207543556513151539e-02 1.775000614879264360e-04 1.586197257164162489e-04
2.990000000000000213e+00 2.176988990070579527e-02 2.133892796112139834e-04 3.043854663682815653e-04
3.049999999999999822e+00 2.153068098742033643e-02 2.163002637143376927e-04 4.429006461190050647e-04
3.109999999999999876e+00 2.172598707445819177e-02 1.666991008778782868e-04 1.765455247156461072e-04
3.169999999999999929e+00 2.163543338940856001e-02 2.070260652644491384e-04 2.856179865001230722e-04
3.229999999999999538e+00 2.159730232756528617e-02 1.890925200488426106e-04 1.683162910361586662e-04
3.290000000000000036e+00 2.113602587567149638e-02 2.041946617339814030e-04 1.974375330471567214e-04
3.349999999999999645e+00 2.183079310692645492e-02 2.240312596900675968e-04 2.018150345274791202e-04
3.410000000000000142e+00 2.175886216419090774e-02 2.024146423971542874e-04 2.123825382143451623e-04
3.469999999999999751e+00 2.133140576002690719e-02 2.530358014831389502e-04 2.110332909747783536e-04
3.530000000000000249e+00 2.129005109975464632e-02 1.747359541782976533e-04 1.682313375510613440e-04
3.589999999999999858e+00 2.106514214913478983e-02 2.105396314336788199e-04 2.037599581223362155e-04
3.649999999999999911e+00 2.152263144773520348e-02 1.990051474601399473e-04 1.907964123212570196e-04
3.709999999999999964e+00 2.085644496738702641e-02 2.397880544881582365e-04 2.246937584325404968e-04
3.769999999999999574e+00 2.147533166293476639e-02 2.200550548097368608e-04 2.115559069614178500e-04
3.830000000000000071e+00 2.092897442040122374e-02 3.311004111650681092e-04 3.553545169482398569e-04
3.889999999999999680e+00 2.116236972497804666e-02 2.247189941796366719e-04 2.160091409784299643e-04
3.950000000000000178e+00 2.100053394034606322e-02 2.560592661821833871e-04 2.239902609296184899e-04
4.009999999999999787e+00 2.170662944761481139e-02 2.283954731363661839e-04 2.398684975787913898e-04
4.070000000000000284e+00 2.150081976993537328e-02 2.870963381577940066e-04 2.711114213873357104e-04
4.129999999999999893e+00 2.109284930497178773e-02 2.470012658692677388e-04 2.051391469710256432e-04
4.189999999999999503e+00 2.146176551779039460e-02 3.515731685339550106e-04 3.053636758779294802e-04
4.250000000000000000e+00 2.213555244994081656e-02 2.840059285626021779e-04 2.624313612247797245e-04
4.309999999999999609e+00 2.250474572384469907e-02 2.946619740844119706e-04 2.726095265082259522e-04
4.370000000000000107e+00 2.240162017766488683e-02 3.818914075413085141e-04 3.429413592671119726e-04
4.429999999999999716e+00 2.208607080615830609e-02 3.198732315584026931e-04 3.071214685609370554e-04
4.490000000000000213e+00 2.170752354776519372e-02 3.407189233542266826e-04 3.291201350182557106e-04
4.549999999999999822e+00 2.151579407515593484e-02 2.951976310377954493e-04 2.933911898678163988e-04
4.609999999999999432e+00 2.182166609290053100e-02 2.938035609861555653e-04 2.567050859490736803e-04
4.669999999999999929e+00 2.146781808638437497e-02 3.393030296321743189e-04 2.786111302618826668e-04
4.730000000000000426e+00 2.182723675329366342e-02 3.703905803700800747e-04 3.053187528359868619e-04
4.790000000000000036e+00 2.182348639380756600e-02 2.923898499804199191e-04 2.915059050848586852e-04
4.849999999999999645e+00 2.166209558273867603e-02 2.928521400880554348e-04 2.597197933927944402e-04
4.910000000000000142e+00 2.125552732213221996e-02 4.509554677022929725e-04 6.292763233857572025e-04
4.969999999999999751e+00 2.088989072511881692e-02 3.746074484315929654e-04 4.103476132458344638e-04
